official_order,symbol,first_genuine_date,last_genuine_date,genuine_observation_count,leading_missing_weekdays,forward_filled_weekdays,first_valid_log_return_date,valid_log_return_count,missing_log_return_count,raw_zero_volume_days,processed_zero_volume_days
1,ABBV,2012-12-10,2023-02-03,2556,1026,94,2012-12-11,2649,1027,0,0
2,ACN,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
3,AEP,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
4,AIZ,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
5,ALLE,2013-11-18,2023-02-03,2319,1271,86,2013-11-19,2404,1272,0,0
6,AMAT,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
7,AMP,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
8,AMZN,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
9,AVB,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
10,AVY,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
11,AXP,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
12,BDX,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
13,BF-B,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
14,BMY,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
15,BR,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
16,CARR,2020-03-19,2023-02-03,726,2924,26,2020-03-20,751,2925,0,0
17,CDW,2013-06-27,2023-02-03,2419,1169,88,2013-06-28,2506,1170,0,0
18,CE,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
19,CHTR,2010-01-05,2023-02-03,3294,262,120,2010-01-06,3413,263,18,18
20,CNC,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,1,1
21,CNP,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
22,COP,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
23,CTAS,2009-01-02,2023-02-03,3547,0,129,2009-01-05,3675,1,0,0
24,CZR,2009-01-02,2023-02-03,3546,0,130,2009-01-05,3675,1,0,0
25,DG,2009-11-13,2023-02-03,3328,225,123,2009-11-16,3450,226,0,0
