origin_index,origin_date,target_start_date,target_end_date,m6_round,origin_role,eligible_for_training_from
275,2010-01-22,2010-01-25,2010-02-19,,historical,2010-02-19
295,2010-02-19,2010-02-22,2010-03-19,,historical,2010-03-19
315,2010-03-19,2010-03-22,2010-04-16,,historical,2010-04-16
335,2010-04-16,2010-04-19,2010-05-14,,historical,2010-05-14
355,2010-05-14,2010-05-17,2010-06-11,,historical,2010-06-11
375,2010-06-11,2010-06-14,2010-07-09,,historical,2010-07-09
395,2010-07-09,2010-07-12,2010-08-06,,historical,2010-08-06
415,2010-08-06,2010-08-09,2010-09-03,,historical,2010-09-03
435,2010-09-03,2010-09-06,2010-10-01,,historical,2010-10-01
455,2010-10-01,2010-10-04,2010-10-29,,historical,2010-10-29
475,2010-10-29,2010-11-01,2010-11-26,,historical,2010-11-26
495,2010-11-26,2010-11-29,2010-12-24,,historical,2010-12-24
515,2010-12-24,2010-12-27,2011-01-21,,historical,2011-01-21
535,2011-01-21,2011-01-24,2011-02-18,,historical,2011-02-18
555,2011-02-18,2011-02-21,2011-03-18,,historical,2011-03-18
575,2011-03-18,2011-03-21,2011-04-15,,historical,2011-04-15
595,2011-04-15,2011-04-18,2011-05-13,,historical,2011-05-13
615,2011-05-13,2011-05-16,2011-06-10,,historical,2011-06-10
635,2011-06-10,2011-06-13,2011-07-08,,historical,2011-07-08
655,2011-07-08,2011-07-11,2011-08-05,,historical,2011-08-05
675,2011-08-05,2011-08-08,2011-09-02,,historical,2011-09-02
695,2011-09-02,2011-09-05,2011-09-30,,historical,2011-09-30
715,2011-09-30,2011-10-03,2011-10-28,,historical,2011-10-28
735,2011-10-28,2011-10-31,2011-11-25,,historical,2011-11-25
755,2011-11-25,2011-11-28,2011-12-23,,historical,2011-12-23
775,2011-12-23,2011-12-26,2012-01-20,,historical,2012-01-20
795,2012-01-20,2012-01-23,2012-02-17,,historical,2012-02-17
815,2012-02-17,2012-02-20,2012-03-16,,historical,2012-03-16
835,2012-03-16,2012-03-19,2012-04-13,,historical,2012-04-13
855,2012-04-13,2012-04-16,2012-05-11,,historical,2012-05-11
875,2012-05-11,2012-05-14,2012-06-08,,historical,2012-06-08
895,2012-06-08,2012-06-11,2012-07-06,,historical,2012-07-06
915,2012-07-06,2012-07-09,2012-08-03,,historical,2012-08-03
935,2012-08-03,2012-08-06,2012-08-31,,historical,2012-08-31
955,2012-08-31,2012-09-03,2012-09-28,,historical,2012-09-28
975,2012-09-28,2012-10-01,2012-10-26,,historical,2012-10-26
995,2012-10-26,2012-10-29,2012-11-23,,historical,2012-11-23
1015,2012-11-23,2012-11-26,2012-12-21,,historical,2012-12-21
1035,2012-12-21,2012-12-24,2013-01-18,,historical,2013-01-18
1055,2013-01-18,2013-01-21,2013-02-15,,historical,2013-02-15
1075,2013-02-15,2013-02-18,2013-03-15,,historical,2013-03-15
1095,2013-03-15,2013-03-18,2013-04-12,,historical,2013-04-12
1115,2013-04-12,2013-04-15,2013-05-10,,historical,2013-05-10
1135,2013-05-10,2013-05-13,2013-06-07,,historical,2013-06-07
1155,2013-06-07,2013-06-10,2013-07-05,,historical,2013-07-05
1175,2013-07-05,2013-07-08,2013-08-02,,historical,2013-08-02
1195,2013-08-02,2013-08-05,2013-08-30,,historical,2013-08-30
1215,2013-08-30,2013-09-02,2013-09-27,,historical,2013-09-27
1235,2013-09-27,2013-09-30,2013-10-25,,historical,2013-10-25
1255,2013-10-25,2013-10-28,2013-11-22,,historical,2013-11-22
1275,2013-11-22,2013-11-25,2013-12-20,,historical,2013-12-20
1295,2013-12-20,2013-12-23,2014-01-17,,historical,2014-01-17
1315,2014-01-17,2014-01-20,2014-02-14,,historical,2014-02-14
1335,2014-02-14,2014-02-17,2014-03-14,,historical,2014-03-14
1355,2014-03-14,2014-03-17,2014-04-11,,historical,2014-04-11
1375,2014-04-11,2014-04-14,2014-05-09,,historical,2014-05-09
1395,2014-05-09,2014-05-12,2014-06-06,,historical,2014-06-06
1415,2014-06-06,2014-06-09,2014-07-04,,historical,2014-07-04
1435,2014-07-04,2014-07-07,2014-08-01,,historical,2014-08-01
1455,2014-08-01,2014-08-04,2014-08-29,,historical,2014-08-29
1475,2014-08-29,2014-09-01,2014-09-26,,historical,2014-09-26
1495,2014-09-26,2014-09-29,2014-10-24,,historical,2014-10-24
1515,2014-10-24,2014-10-27,2014-11-21,,historical,2014-11-21
1535,2014-11-21,2014-11-24,2014-12-19,,historical,2014-12-19
1555,2014-12-19,2014-12-22,2015-01-16,,historical,2015-01-16
1575,2015-01-16,2015-01-19,2015-02-13,,historical,2015-02-13
1595,2015-02-13,2015-02-16,2015-03-13,,historical,2015-03-13
1615,2015-03-13,2015-03-16,2015-04-10,,historical,2015-04-10
1635,2015-04-10,2015-04-13,2015-05-08,,historical,2015-05-08
1655,2015-05-08,2015-05-11,2015-06-05,,historical,2015-06-05
1675,2015-06-05,2015-06-08,2015-07-03,,historical,2015-07-03
1695,2015-07-03,2015-07-06,2015-07-31,,historical,2015-07-31
1715,2015-07-31,2015-08-03,2015-08-28,,historical,2015-08-28
1735,2015-08-28,2015-08-31,2015-09-25,,historical,2015-09-25
1755,2015-09-25,2015-09-28,2015-10-23,,historical,2015-10-23
1775,2015-10-23,2015-10-26,2015-11-20,,historical,2015-11-20
1795,2015-11-20,2015-11-23,2015-12-18,,historical,2015-12-18
1815,2015-12-18,2015-12-21,2016-01-15,,historical,2016-01-15
1835,2016-01-15,2016-01-18,2016-02-12,,historical,2016-02-12
1855,2016-02-12,2016-02-15,2016-03-11,,historical,2016-03-11
1875,2016-03-11,2016-03-14,2016-04-08,,historical,2016-04-08
1895,2016-04-08,2016-04-11,2016-05-06,,historical,2016-05-06
1915,2016-05-06,2016-05-09,2016-06-03,,historical,2016-06-03
1935,2016-06-03,2016-06-06,2016-07-01,,historical,2016-07-01
1955,2016-07-01,2016-07-04,2016-07-29,,historical,2016-07-29
1975,2016-07-29,2016-08-01,2016-08-26,,historical,2016-08-26
1995,2016-08-26,2016-08-29,2016-09-23,,historical,2016-09-23
2015,2016-09-23,2016-09-26,2016-10-21,,historical,2016-10-21
2035,2016-10-21,2016-10-24,2016-11-18,,historical,2016-11-18
2055,2016-11-18,2016-11-21,2016-12-16,,historical,2016-12-16
2075,2016-12-16,2016-12-19,2017-01-13,,historical,2017-01-13
2095,2017-01-13,2017-01-16,2017-02-10,,historical,2017-02-10
2115,2017-02-10,2017-02-13,2017-03-10,,historical,2017-03-10
2135,2017-03-10,2017-03-13,2017-04-07,,historical,2017-04-07
2155,2017-04-07,2017-04-10,2017-05-05,,historical,2017-05-05
2175,2017-05-05,2017-05-08,2017-06-02,,historical,2017-06-02
2195,2017-06-02,2017-06-05,2017-06-30,,historical,2017-06-30
2215,2017-06-30,2017-07-03,2017-07-28,,historical,2017-07-28
2235,2017-07-28,2017-07-31,2017-08-25,,historical,2017-08-25
2255,2017-08-25,2017-08-28,2017-09-22,,historical,2017-09-22
2275,2017-09-22,2017-09-25,2017-10-20,,historical,2017-10-20
2295,2017-10-20,2017-10-23,2017-11-17,,historical,2017-11-17
2315,2017-11-17,2017-11-20,2017-12-15,,historical,2017-12-15
2335,2017-12-15,2017-12-18,2018-01-12,,historical,2018-01-12
2355,2018-01-12,2018-01-15,2018-02-09,,historical,2018-02-09
2375,2018-02-09,2018-02-12,2018-03-09,,historical,2018-03-09
2395,2018-03-09,2018-03-12,2018-04-06,,historical,2018-04-06
2415,2018-04-06,2018-04-09,2018-05-04,,historical,2018-05-04
2435,2018-05-04,2018-05-07,2018-06-01,,historical,2018-06-01
2455,2018-06-01,2018-06-04,2018-06-29,,historical,2018-06-29
2475,2018-06-29,2018-07-02,2018-07-27,,historical,2018-07-27
2495,2018-07-27,2018-07-30,2018-08-24,,historical,2018-08-24
2515,2018-08-24,2018-08-27,2018-09-21,,historical,2018-09-21
