date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2009-01-02,,23.9292,16.9945,21.4648,,8.034,16.5457,2.718,32.7069,22.326,14.7341,39.463,9.5179,12.6739,9.9036,,,10.0382,,4.8925,6.5567,22.6218,4.6564,1.75,,3.9617,6.1871,6.2307,6.726,12.5257,12.7329,6.1496,28.1628,12.7133,13.132,7.8959,12.6631,22.0528,17.3907,,7.9331,22.9209,29.61,12.1798,,4.2158,26.0686,17.27,15.7218,,64.1312,,,14.6454,,17.0619,,,,67.5626,39.698,5.4425,,20.481,7.9461,51.565,,,,,37.4224,13.1107,16.0524,,51.7765,,2.7469,6.4553,,64.5664,11.41,,68.8208,21.2078,8.6448,11.7615,,,11.8505,8.1215,,14.4713,7.5134,17.4,6.3298,15.0901,8.0733,20.0397,9.1063,42.8424
2009-01-05,,24.0358,16.8396,21.1312,,8.034,16.6422,2.703,31.7859,21.8543,15.2067,39.0394,9.5449,12.3289,9.7224,,,10.4446,,4.915,6.7047,22.8775,4.6155,1.99,,4.08,6.1526,6.308,6.6357,12.904,12.4167,6.1382,27.4609,12.4589,12.8133,7.8453,12.9719,22.106,18.0446,,8.0992,22.4843,30.631,12.2796,,4.0358,27.3278,16.908,16.1327,,64.019,,,14.3986,,17.0168,,,,67.3888,39.8403,5.4282,,19.109,7.985,51.9187,,,,,37.1542,13.2741,15.948,,51.0459,,2.7423,6.3422,,64.6967,11.11,,67.0463,20.8619,8.3849,11.8451,,,12.0581,8.1388,,14.8118,7.3888,17.2639,6.31,15.1524,8.1874,19.9435,9.0661,42.8372
2009-01-06,,23.7373,16.5497,21.9972,,8.7191,17.304,2.868,33.5731,21.8145,16.0604,38.627,9.2727,11.8619,9.9385,,,10.9201,,5.09,6.5873,22.9641,4.7501,1.95,,4.522,6.6643,6.6388,6.8447,13.2263,12.4562,6.2636,27.1977,12.5071,12.8624,7.9262,13.2911,22.6227,19.0729,,8.2476,22.1177,31.2,14.0257,,4.4175,27.5583,17.044,15.889,,63.9793,,,14.594,,17.1015,,,,67.8162,40.5122,5.6253,,19.5206,7.5928,52.0058,,,,,37.047,13.4793,18.3165,,51.7427,,2.7285,6.2898,,64.7274,11.34,,66.372,20.37,9.1165,12.6793,,,12.2419,8.3214,,14.9734,7.5075,17.6437,6.4565,14.928,8.0706,19.618,9.2189,42.1392
2009-01-07,,24.0073,16.3697,21.2306,,7.9813,15.8563,2.81,32.5095,21.1967,15.3838,38.2203,8.8852,11.7716,9.5551,,,11.1194,,5.0875,6.4904,21.9578,4.6642,2.02,,4.7587,6.2733,6.3634,6.5787,12.6938,12.2718,6.1097,26.9345,12.4314,12.703,7.744,12.8895,22.6227,17.9403,,7.9501,21.4017,29.02,12.7642,,4.0794,27.0608,16.561,14.9504,,63.9925,,,14.3314,,16.6045,,,,65.8239,39.3186,5.4639,,18.3512,7.6616,51.5702,,,,,36.3974,13.4919,16.7253,,50.3424,,2.6655,6.3736,,64.6814,10.856,,66.6322,20.2163,8.3849,12.4041,,,11.3128,8.1284,,14.3386,7.1158,16.8554,6.2506,14.7784,8.0054,19.4405,8.8531,41.0635
2009-01-08,,23.7657,16.6346,21.8694,,8.0867,16.4078,2.858,31.3912,21.3495,15.4069,39.0394,8.9537,11.9468,9.597,,,11.1041,,5.1275,6.6638,22.2671,4.6896,1.9,,4.9403,6.4861,6.1787,6.631,12.9671,12.3376,6.1268,27.3147,12.6515,12.8562,7.5315,13.1778,22.4707,18.0872,,8.0286,21.751,28.62,13.1704,,4.1667,26.6672,16.888,15.4295,,64.1642,,,14.3314,,16.9151,,,,66.1137,39.5083,5.4796,,17.7828,7.5239,51.9392,,,,,35.9982,13.718,17.1531,,50.8024,,2.6962,6.6167,,64.6967,10.99,,66.579,20.5314,8.3079,12.2721,,,10.9758,8.2421,,14.5233,7.0861,17.0202,6.2942,14.5852,7.9646,19.5514,8.9053,41.5043
2009-01-09,,23.9718,16.2997,21.401,,7.8081,15.7184,2.7755,29.9055,20.8513,14.7842,40.2652,8.8022,11.8619,9.4645,,,11.4722,,5.05,6.5567,21.4422,4.5472,1.88,,4.8377,6.1871,6.1064,6.4125,12.6378,11.7053,5.9444,26.8468,12.1702,12.3783,7.2379,12.8072,21.2017,17.964,,7.7787,21.9081,28.37,12.9424,,3.9376,27.0594,16.804,15.3522,,64.4614,,,14.2947,,16.3503,,,,64.6648,38.0459,5.3625,,16.9662,7.4281,52.585,,,,,35.6704,13.4709,16.6314,,50.1124,,2.5842,6.2856,,64.7427,11.097,,66.6796,20.3316,7.711,12.2413,,,10.2986,8.0423,,14.0356,6.8606,16.6475,6.1556,14.3359,7.9021,19.3443,8.6319,40.7066
2009-01-12,,23.4743,16.3897,21.4648,,7.5295,14.4361,2.596,27.9867,20.3,14.4766,40.107,8.7806,11.7557,9.2345,,,10.4446,,5.1325,6.5312,20.8153,4.5647,1.91,,5.1533,5.3361,6.0561,6.175,12.0143,11.4352,5.8361,26.5251,11.902,12.0719,7.0456,12.4263,20.2214,16.9784,,7.72,21.2853,27.03,10.5335,,3.654,26.4711,16.176,14.2597,,64.8642,,,13.861,,15.8815,,,,63.1797,36.9155,5.2425,,16.2737,7.3383,52.3133,,,,,35.7181,13.6468,14.4769,,49.2262,,2.575,6.1829,,64.758,10.5,,67.3716,19.6935,7.1238,11.6558,,,10.1795,7.708,,13.4816,6.4986,16.2821,6.0448,14.3421,7.9048,19.0928,8.4269,40.1661
2009-01-13,,24.2134,16.0598,21.5074,,7.6725,14.8911,2.5725,29.4285,20.3,14.5997,40.6945,8.7247,11.6814,9.5551,,,10.3139,,4.98,6.4495,21.1247,4.5374,1.87,,4.8771,5.3246,6.2677,6.0562,12.1264,11.1454,5.7848,26.0279,11.847,11.8574,7.2379,12.2204,20.9357,17.0827,,7.7603,21.1922,27.63,11.0039,,3.594,26.3741,16.192,13.9185,,64.9104,,,13.7082,,15.7347,,,,63.2304,37.4056,5.2497,,17.2145,7.4012,52.2006,,,,,35.438,13.4039,15.1603,,49.6998,,2.5734,6.2123,,64.7657,10.6,,67.4426,19.4937,6.8253,11.6955,,,10.2475,7.7494,,13.8192,6.5876,16.0026,6.0171,14.4294,7.7554,19.2555,8.3183,40.8903
2009-01-14,,23.055,15.7799,19.9387,,7.3262,13.8432,2.4245,28.5733,19.6756,13.7078,40.1183,8.4111,11.7876,9.2276,,,9.8447,,4.7025,6.3424,20.2998,4.4028,1.73,,4.5693,4.9393,5.9956,5.8425,11.573,10.4998,5.6423,25.2676,11.4344,11.2936,7.1063,11.6027,20.4873,15.9643,,7.4307,21.1864,27.2,9.8279,,3.3704,26.0376,15.972,13.1596,,65.2736,,,13.1951,,15.1078,,,,61.2309,35.7614,5.0355,,16.927,7.2545,51.9699,,,,,34.4786,13.0688,13.8717,,47.9883,,2.4368,6.1306,,64.8424,10.45,,68.5546,18.5098,6.3055,11.2179,,,9.8017,7.46,,13.1584,6.2078,15.4078,5.835,14.1115,7.6603,18.9818,7.9927,39.4104
2009-01-15,,23.2043,15.8749,20.4001,,7.3036,13.7674,2.572,29.4833,19.9944,13.3157,40.3048,8.4814,11.7239,9.2764,,,9.6755,,4.7325,6.3985,19.9864,4.633,1.8,,4.6561,5.4223,6.1568,5.9422,11.7131,10.5986,5.6138,25.5893,11.6072,11.2753,7.0051,11.5924,19.9326,16.5235,,7.3817,21.2737,26.13,9.4075,,3.4577,25.9344,16.078,13.459,,65.2208,,,13.4028,,15.4071,,,,61.3613,36.3385,5.1183,,15.9013,7.3353,52.0724,,,,,34.2403,13.14,13.8247,,48.8948,,2.5151,6.3883,,64.7734,10.49,,68.667,19.1324,6.344,10.8679,,,9.9004,7.6805,,13.3228,5.9229,15.5511,5.8746,14.1738,7.701,19.115,8.1897,40.2291
