date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2009-01-02,,33.67,34.0,30.24,,10.67,24.0,54.36,53.0311,33.61,19.33,69.8599,52.8,23.88,14.21,,,13.09,,19.57,12.85,41.8131,23.87,1.75,,5.02,10.76,37.1001,14.16,17.88,1159.8,1079.0,9.63,9.245,21.43,7.8,12.3,29.02,12.2333,,321.32,39.38,29.61,17.09,,7.73,75.77,86.35,22.5799,,97.12,,,23.974,,30.21,,,,93.26,50.22,38.1101,,31.35,26.54,100.61,,,,,62.8,31.3,30.77,,76.54,,17.8901,30.81,,84.21,11.41,,116.35,27.59,8.98,53.44,,,17.4301,23.57,,50.15,12.66,24.28,15.99,24.21,29.71,27.09,22.65,81.64
2009-01-05,,33.82,33.69,29.77,,10.67,24.14,54.06,51.5378,32.9,19.95,69.11,52.95,23.23,13.95,,,13.62,,19.66,13.14,42.2857,23.66,1.99,,5.17,10.7,37.5599,13.97,18.42,1131.0,1077.0,9.39,9.06,20.91,7.75,12.6,29.09,12.6933,,328.048,38.63,30.631,17.23,,7.4,79.43,84.54,23.17,,96.95,,,23.57,,30.13,,,,93.02,50.4,38.0101,,29.25,26.67,101.3,,,,,62.35,31.69,30.57,,75.46,,17.8604,30.27,,84.38,11.11,,113.35,27.14,8.71,53.82,,,17.7354,23.62,,51.33,12.45,24.09,15.94,24.31,30.13,26.96,22.55,81.63
2009-01-06,,33.4,33.11,30.99,,11.58,25.1,57.36,54.4356,32.84,21.07,68.38,51.44,22.35,14.26,,,14.24,,20.36,12.91,42.4458,24.35,1.95,,5.73,11.59,39.5299,14.41,18.88,1134.6,1099.0,9.3,9.095,20.99,7.83,12.91,29.77,13.4167,,334.058,38.0,31.2,19.68,,8.1,80.1,85.22,22.82,,96.89,,,23.89,,30.28,,,,93.61,51.25,39.3901,,29.88,25.36,101.47,,,,,62.17,32.1801,35.11,,76.49,,17.7701,30.02,,84.42,11.34,,112.21,26.5,9.47,57.61,,,18.0057,24.15,,51.89,12.65,24.62,16.31,23.95,29.7,26.52,22.93,80.3
2009-01-07,,33.78,32.75,29.91,,10.6,23.0,56.2,52.7111,31.91,20.01,67.6601,49.29,22.18,13.71,,,14.5,,20.35,12.72,40.5857,23.91,2.02,,6.03,10.91,37.8901,13.85,18.12,1117.8,1072.0,9.21,9.04,20.73,7.65,12.52,29.77,12.62,,322.01,36.77,29.02,17.91,,7.48,78.654,82.805,21.472,,96.91,,,23.46,,29.4,,,,90.86,49.74,38.2601,,28.09,25.59,100.62,,,,,61.08,32.21,32.06,,74.42,,17.3601,30.42,,84.36,10.856,,112.65,26.3,8.71,56.36,,,16.6392,23.59,,49.69,11.9899,23.52,15.79,23.71,29.46,26.28,22.02,78.25
2009-01-08,,33.44,33.28,30.81,,10.74,23.8,57.16,50.8978,32.14,20.04,69.11,49.67,22.51,13.77,,,14.48,,20.51,13.06,41.1575,24.04,1.9,,6.26,11.28,36.79,13.96,18.51,1123.8,1075.0,9.34,9.2,20.98,7.44,12.8,29.57,12.7233,,325.19,37.37,28.62,18.48,,7.64,77.51,84.44,22.16,,97.17,,,23.46,,29.95,,,,91.26,49.98,38.3701,,27.22,25.13,101.34,,,,,60.41,32.7499,32.88,,75.1,,17.5599,31.58,,84.38,10.99,,112.56,26.71,8.63,55.76,,,16.1436,23.92,,50.33,11.94,23.75,15.9,23.4,29.31,26.43,22.15,79.09
2009-01-09,,33.73,32.61,30.15,,10.37,22.8,55.51,48.4889,31.39,19.23,71.2801,48.83,22.35,13.58,,,14.96,,20.2,12.85,39.6328,23.31,1.88,,6.13,10.76,36.3599,13.5,18.04,1066.2,1043.0,9.18,8.85,20.2,7.15,12.44,27.9,12.6367,,315.068,37.64,28.37,18.16,,7.22,78.6499,84.02,22.049,,97.62,,,23.4,,28.95,,,,89.26,48.13,37.5501,,25.97,24.81,102.6,,,,,59.86,32.16,31.88,,74.08,,16.8299,30.0,,84.44,11.097,,112.73,26.45,8.01,55.62,,,15.1474,23.34,,48.64,11.56,23.23,15.55,23.0,29.08,26.15,21.47,77.57
2009-01-12,,33.03,32.79,30.24,,10.0,20.94,51.92,45.3778,30.56,18.83,71.0,48.71,22.15,13.25,,,13.62,,20.53,12.8,38.4741,23.4,1.91,,6.53,9.28,36.06,13.0,17.15,1041.6,1024.0,9.07,8.655,19.7,6.96,12.07,26.61,11.9433,,312.692,36.57,27.03,14.78,,6.7,76.94,80.88,20.48,,98.23,,,22.69,,28.12,,,,87.21,46.7,36.7101,,24.91,24.51,102.07,,,,,59.94,32.58,27.75,,72.77,,16.7702,29.51,,84.46,10.5,,113.9,25.62,7.4,52.96,,,14.9722,22.37,,46.72,10.95,22.72,15.27,23.01,29.09,25.81,20.96,76.54
2009-01-13,,34.07,32.13,30.3,,10.19,21.6,51.45,47.7156,30.56,18.99,72.04,48.4,22.01,13.71,,,13.41,,19.92,12.64,39.0459,23.26,1.87,,6.18,9.26,37.3201,12.75,17.31,1015.2,1015.0,8.9,8.615,19.35,7.15,11.87,27.55,12.0167,,314.322,36.41,27.63,15.44,,6.59,76.6581,80.96,19.99,,98.3,,,22.4399,,27.86,,,,87.28,47.32,36.7601,,26.35,24.72,101.85,,,,,59.47,32.0,29.06,,73.47,,16.7601,29.65,,84.47,10.6,,114.02,25.36,7.09,53.14,,,15.0724,22.49,,47.89,11.1001,22.33,15.2,23.15,28.54,26.03,20.69,77.92
2009-01-14,,32.44,31.57,28.09,,9.73,20.08,48.49,46.3289,29.62,17.83,71.02,46.66,22.21,13.24,,,12.8,,18.81,12.43,37.5212,22.57,1.73,,5.79,8.59,35.6999,12.3,16.52,956.4,990.0,8.64,8.315,18.43,7.02,11.27,26.96,11.23,,300.972,36.4,27.2,13.79,,6.18,75.68,79.86,18.9,,98.85,,,21.6,,26.75,,,,84.52,45.24,35.2601,,25.91,24.23,101.4,,,,,57.86,31.2,26.59,,70.94,,15.87,29.26,,84.57,10.45,,115.9,24.08,6.55,50.97,,,14.4166,21.65,,45.6,10.4601,21.5,14.74,22.64,28.19,25.66,19.88,75.1
2009-01-15,,32.65,31.76,28.74,,9.7,19.97,51.44,47.8044,30.1,17.32,71.35,47.05,22.09,13.31,,,12.58,,18.93,12.54,36.9419,23.75,1.8,,5.9,9.43,36.66,12.51,16.72,965.4,985.0,8.75,8.4406,18.4,6.92,11.26,26.23,11.6233,,298.988,36.55,26.13,13.2,,6.34,75.38,80.39,19.33,,98.77,,,21.94,,27.28,,,,84.7,45.97,35.8401,,24.34,24.5,101.6,,,,,57.46,31.37,26.5,,72.28,,16.3803,30.49,,84.48,10.49,,116.09,24.89,6.59,49.38,,,14.5618,22.29,,46.17,9.98,21.7,14.84,22.74,28.34,25.84,20.37,76.66
