date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2009-01-02,,33.8,34.15,30.47,,10.72,24.21,54.53,55.5556,33.7,19.52,70.04,52.96,23.98,14.39,,,13.18,,20.04,12.93,42.1104,23.95,1.8199,,5.07,11.24,37.4201,14.25,17.94,1164.6,1085.0,9.72,9.36,21.5,7.85,12.35,29.16,12.4667,,321.822,39.53,30.05,17.3,,7.87,76.45,86.64,22.62,,98.96,,,24.02,,30.41,,,,93.66,50.72,38.1201,,31.64,26.67,101.66,,,,,62.97,31.5,31.17,,77.2,,18.2601,30.9,,84.68,11.43,,120.45,27.72,9.5,53.71,,,17.8556,23.71,,50.67,12.81,24.42,16.07,24.33,29.93,27.23,22.65,82.11
2009-01-05,,34.17,34.34,30.01,,10.8,24.44,55.74,53.4222,33.33,20.24,69.98,52.97,23.93,14.21,,,13.75,,19.88,13.23,42.7278,23.83,1.99,,5.2,11.18,37.88,14.18,18.68,1138.8,1086.9,9.5,9.15,21.01,7.79,12.6,29.38,13.08,,331.24,39.82,30.81,18.12,,7.74,85.5,84.74,23.65,,97.3,,,23.83,,30.5,,,,93.84,50.8,38.4901,,30.77,26.78,101.74,,,,,62.44,31.96,31.27,,76.07,,17.9901,30.72,,84.46,11.15,,116.16,27.67,9.02,55.3,,,18.0808,24.01,,52.19,12.74,24.46,16.035,24.31,30.13,27.12,22.705,82.42
2009-01-06,,33.95,34.2,31.44,,11.71,25.61,58.22,55.0044,33.83,21.38,70.5899,53.49,23.75,14.48,,,14.66,,20.5,13.34,43.7875,24.47,1.9699,,5.8,11.7,39.89,14.55,19.08,1143.6,1113.5,9.37,9.125,21.12,7.85,12.98,30.17,13.5967,,340.802,38.99,31.672,19.91,,8.22,80.61,85.74,23.62,,97.08,,,23.93,,30.49,,,,94.65,51.91,39.6431,,30.42,26.94,101.87,,,,,62.95,32.52,35.95,,76.5,,18.5003,30.6,,84.46,11.4,,113.26,27.37,9.49,57.98,,,18.4663,24.4,,53.19,12.82,24.74,16.45,24.43,30.47,27.08,23.1,82.73
2009-01-07,,34.05,33.17,31.18,,11.31,24.58,56.95,54.7467,32.76,20.72,68.45,50.9,22.62,14.11,,,14.6,,21.11,12.91,41.9274,24.21,2.02,,6.28,11.52,39.22,14.25,18.72,1132.2,1089.0,9.31,9.2,21.04,7.7,12.73,30.11,13.0167,,330.912,37.82,30.96,19.29,,7.9,80.36,84.66,23.18,,97.14,,,23.797,,30.9,,,,92.47,51.3498,39.0201,,29.4,26.06,101.29,,,,,61.66,32.69,34.33,,77.19,,18.0804,30.61,,84.45,11.17,,112.68,27.08,9.17,57.95,,,17.5802,24.3099,,51.1,12.45,24.26,16.06,23.9,29.55,26.5,22.54,80.19
2009-01-08,,33.65,33.32,30.95,,10.76,23.82,57.32,51.8844,32.18,20.17,69.29,49.68,22.6,13.91,,,14.68,,20.81,13.09,41.348,24.27,1.9899,,6.58,11.49,37.6401,13.97,18.51,1125.6,1078.0,9.35,9.205,21.03,7.47,12.8,29.57,12.7933,,325.19,37.37,29.1684,18.95,,7.88,78.31,84.93,22.48,,97.53,,,23.797,,30.2,,,,91.26,50.15,38.3701,,27.95,25.69,101.35,,,,,61.25,32.79,33.44,,76.42,,17.9001,31.93,,84.49,11.09,,112.92,26.91,8.69,56.3,,,16.3088,24.03,,50.41,12.1201,23.77,15.93,23.49,29.39,26.43,22.19,79.57
2009-01-09,,34.12,33.44,31.18,,10.81,24.12,57.0,51.5111,32.19,20.3,72.99,50.31,22.89,13.77,,,15.27,,21.53,13.22,41.3099,23.96,1.92,,6.31,11.35,36.9201,13.9,18.45,1110.0,1067.0,9.2899,9.02,20.85,7.27,13.28,28.5,12.9633,,327.498,37.96,28.65,18.88,,7.7,78.86,85.54,22.72,,97.95,,,23.598,,30.24,,,,91.5,50.19,37.9451,,27.55,25.45,102.6,,,,,60.8,32.95,33.8,,75.77,,17.73,31.9,,84.53,11.47,,113.35,27.0,8.67,56.31,,,16.1736,23.98,,50.36,12.11,23.8877,15.94,23.42,29.5,26.5,22.28,79.25
2009-01-12,,33.65,33.01,31.38,,10.44,23.22,54.3,49.3333,31.36,19.43,72.43,49.2,22.51,13.62,,,15.0,,20.79,12.97,39.2364,23.59,1.97,,6.63,10.75,36.7699,13.35,17.88,1065.0,1050.0,9.19,8.775,20.05,7.12,12.3,27.36,12.38,,318.952,37.47,28.0,18.11,,7.38,79.1,82.09,22.29,,98.31,,,22.9599,,29.67,,,,89.1184,48.11,37.3041,,26.15,24.96,102.43,,,,,60.42,32.73,31.84,,74.24,,17.0706,30.24,,84.59,10.93,,114.05,26.79,8.22,56.15,,,15.3727,23.28,,48.06,11.55,23.27,15.6,23.18,29.36,26.25,21.58,77.52
2009-01-13,,34.8,32.92,30.86,,10.63,22.05,53.29,48.0889,30.84,19.39,72.86,48.88,22.47,13.81,,,13.82,,20.74,12.77,39.4956,23.75,1.95,,6.62,9.53,37.63,12.88,17.37,1028.4,1026.0,8.978,8.615,19.45,7.24,11.94,27.82,12.2533,,320.602,36.77,27.82,15.92,,6.84,77.81,81.81,20.82,,98.36,,,22.44,,28.43,,,,87.95,47.61,36.9901,,26.59,24.9,101.89,,,,,60.29,32.56,29.96,,73.89,,17.1104,30.17,,84.54,10.735,,114.08,26.29,7.43,53.34,,,15.3377,22.78,,48.13,11.23,22.81,15.41,23.25,29.21,26.18,21.19,78.34
2009-01-14,,33.86,31.69,30.19,,10.04,20.94,50.1,47.1289,30.4,18.67,71.6401,48.19,22.27,13.77,,,13.0,,19.65,12.61,38.5732,23.4,1.85,,6.23,9.12,37.01,12.61,17.02,1032.0,1000.0,8.77,8.475,18.69,7.08,11.5,27.38,11.65,,313.8,36.77,27.53,14.88,,6.41,76.2,81.13,20.0,,99.22,,,21.7888,,27.61,,,,85.93,46.67,36.7101,,26.28,24.95,101.95,,,,,59.18,31.7,28.0,,72.92,,16.7601,29.87,,84.65,10.52,,116.04,24.96,7.11,52.61,,,14.8721,22.19,,47.17,10.75,22.01,15.11,22.92,28.32,25.87,20.51,77.31
2009-01-15,,32.92,31.82,29.82,,9.84,21.04,52.23,49.12,30.26,18.39,71.4101,47.41,22.19,13.48,,,13.02,,19.08,12.55,37.4221,23.81,1.81,,6.16,9.65,36.9899,12.59,16.79,974.4,1004.0,8.835,8.505,18.55,7.05,11.48,26.55,11.7533,,303.582,36.98,27.15,14.1,,6.55,75.53,80.752,19.8299,,99.12,,,22.02,,27.35,,,,85.44,46.52,35.9801,,27.05,24.58,101.68,,,,,57.48,31.47,27.44,,73.69,,16.4604,31.15,,84.59,10.53,,116.92,25.14,6.68,50.85,,,14.6519,22.48,,46.27,10.44,21.86,14.97,22.78,28.41,25.93,20.72,76.7
