date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2009-01-02,,32.54,33.13,28.75,,10.01,22.43,51.07,52.6933,32.61,18.4,67.6999,50.16,23.08,12.55,,,12.25,,19.21,12.51,39.5109,22.84,1.7,,4.58,10.63,35.0399,13.64,17.28,1131.6,1048.0,9.49,9.03,20.84,7.59,11.99,27.97,11.57,,305.5,38.02,28.3,15.76,,7.51,75.58,85.96,21.5,,96.94,,,23.71,,29.47,,,,90.1,49.22,37.0101,,30.47,26.13,100.49,,,,,61.06,30.5,28.78,,74.85,,17.6903,29.55,,84.21,11.04,,116.35,26.54,8.93,52.24,,,17.0396,22.69,,48.08,12.21,23.27,15.38,23.8,29.01,26.39,21.48,78.9
2009-01-05,,32.74,33.29,28.78,,10.37,23.09,53.03,51.4578,32.48,19.0,68.4601,51.53,23.12,13.37,,,12.71,,19.15,12.64,41.5081,23.25,1.68,,4.75,10.2,36.5899,13.79,17.86,1123.8,1067.5,9.33,8.985,20.72,7.64,12.15,28.6101,12.13,,315.0,38.25,29.69,16.22,,7.34,75.37,83.3,22.2568,,96.45,,,23.57,,29.95,,,,92.08,49.39,37.9461,,29.08,26.24,100.1,,,,,61.59,31.06,29.55,,74.37,,17.2704,29.87,,84.31,10.66,,112.6,26.56,8.47,53.0,,,17.3199,23.11,,49.92,12.38,23.88,15.72,24.05,29.61,26.66,22.15,80.68
2009-01-06,,32.81,32.83,29.36,,10.74,24.08,53.75,51.2533,32.54,20.01,68.1,50.65,22.17,13.74,,,13.65,,19.6,12.85,42.1637,23.83,1.9032,,5.17,10.71,37.4,14.18,18.59,1119.0,1092.0,9.21,8.9573,20.684,7.66,12.51,29.5,13.04,,326.392,37.73,30.6901,17.51,,7.44,79.52,83.05,22.4,,96.0,,,23.51,,29.55,,,,92.9,50.3825,38.0101,,29.51,25.25,100.7,,,,,61.51,31.67,31.06,,74.15,,17.6499,29.6,,84.27,10.97,,111.0,25.81,8.61,54.5,,,17.6453,23.57,,51.57,12.51,24.23,16.04,23.82,29.58,26.3,22.58,79.63
2009-01-07,,31.54,32.56,29.55,,10.47,22.8,55.35,52.2044,31.77,19.83,67.27,49.06,22.1,13.6,,,13.79,,19.82,12.66,40.2046,23.66,1.9,,5.46,10.87,37.17,13.81,17.94,1110.6,1062.0,9.13,8.975,20.6,7.55,12.49,29.3408,12.4,,318.75,36.65,28.73,17.78,,7.41,77.75,82.29,21.29,,96.55,,,23.36,,29.26,,,,90.42,49.03,37.9921,,28.0,25.26,100.25,,,,,60.64,31.52,31.67,,74.16,,17.1701,29.25,,84.3,10.76,,111.4,26.04,8.3,55.99,,,16.4189,23.5799,,49.2,11.97,23.51,15.67,23.57,29.11,26.07,21.94,77.56
2009-01-08,,33.19,32.66,29.5,,10.27,22.48,54.58,49.9733,31.2,19.4,66.91,48.31,22.05,13.52,,,14.23,,20.08,12.6,40.075,23.68,1.8897,,5.95,10.64,36.6,13.56,17.87,1103.4,1053.0,9.2,9.04,20.6,7.25,12.44,28.82,12.2867,,317.34,36.52,28.0,17.25,,7.05,76.86,83.88,21.24,,96.86,,,23.36,,29.01,,,,89.88,49.17,37.7321,,26.86,24.9,100.55,,,,,60.0,31.7501,31.21,,74.28,,17.0706,29.94,,84.33,10.91,,111.99,25.75,8.35,53.27,,,15.7982,23.395,,49.16,11.81,23.35,15.59,23.17,29.05,25.99,21.66,77.9
2009-01-09,,33.11,32.55,30.13,,10.33,22.67,54.7,48.0089,31.27,19.17,70.4501,48.6,22.28,13.08,,,14.41,,20.1,12.78,39.488,23.27,1.88,,6.0,10.67,36.0,13.5,17.92,1065.0,1039.0,9.12,8.835,20.16,7.08,12.44,27.49,12.3633,,313.398,36.24,27.71,17.91,,7.16,77.55,83.2,21.84,,97.0,,,23.24,,28.502,,,,89.02,47.92,37.2702,,25.81,24.75,101.35,,,,,59.75,32.06,31.36,,73.45,,16.8102,29.75,,84.38,10.8482,,111.27,25.8,8.01,54.78,,,15.1274,23.3,,48.45,11.54,23.2,15.49,23.0,28.96,26.0,21.47,77.38
2009-01-12,,32.62,32.45,29.83,,9.91,20.64,50.87,44.7822,30.34,18.55,70.53,48.47,22.06,13.13,,,13.43,,19.56,12.66,38.0472,23.18,1.88,,6.05,8.96,35.7399,12.91,17.03,1036.2,1016.0,9.01,8.6033,19.58,6.92,12.01,26.42,11.7667,,310.232,36.28,27.0,14.5,,6.55,76.21,80.309,20.39,,97.34,,,22.69,,27.95,,,,86.63,46.5,36.5601,,24.5,24.4,101.6,,,,,59.69,32.0,27.25,,72.0,,16.6698,29.27,,84.42,10.42,,111.57,25.29,7.25,52.56,,,14.727,22.35,,46.48,10.79,22.61,15.15,22.9,29.0,25.681,20.83,76.01
2009-01-13,,32.6,31.76,29.21,,9.75,20.38,50.75,44.6133,30.13,18.41,70.8,48.01,21.81,13.07,,,13.2,,19.56,12.52,38.2759,23.09,1.87,,6.06,8.55,36.05,12.54,16.94,1007.4,1006.0,8.831,8.445,19.05,7.08,11.7,26.88,11.7033,,310.392,36.0,27.01,13.63,,6.41,75.82,80.71,19.75,,97.91,,,22.28,,27.44,,,,86.42,46.41,35.9501,,24.27,24.49,101.4001,,,,,59.02,31.56,27.22,,71.58,,16.6103,29.25,,84.4,10.42,,112.96,24.85,6.99,51.51,,,14.6318,22.2,,46.68,10.68,22.01,15.08,23.0,28.3498,25.74,20.52,76.46
2009-01-14,,31.8,30.88,27.83,,9.58,19.44,48.14,45.1644,29.4,17.7,70.3401,46.48,21.83,13.04,,,12.3,,18.59,12.23,36.9952,22.39,1.73,,5.7,8.44,35.31,12.26,16.36,956.4,971.0,8.56,8.26,18.28,6.89,11.1,26.52,11.0033,,297.752,35.66,26.5,13.51,,6.09,73.68,79.43,18.51,,98.7,,,21.6,,26.5,,,,83.9,45.12,35.0001,,24.76,24.15,100.52,,,,,57.22,30.51,26.0,,70.51,,15.8504,29.03,,84.52,10.21,,114.65,23.77,6.51,50.22,,,14.2364,21.48,,45.16,10.38,21.39,14.66,22.49,27.55,25.415,19.79,74.32
2009-01-15,,31.36,31.14,27.5,,9.29,18.88,47.63,44.2044,28.83,16.74,69.52,46.66,21.58,12.66,,,12.01,,18.18,12.2,35.1885,22.53,1.7,,5.25,8.0,35.1099,11.87,15.81,934.8,954.01,8.56,8.15,17.77,6.7,10.98,25.05,10.6533,,286.792,35.43,26.1,12.07,,5.84,74.52,78.94,18.5,,98.59,,,21.49,,26.0,,,,81.93,43.81,34.6001,,23.76,23.84,100.9,,,,,56.55,30.49,23.87,,69.3,,15.7503,29.02,,84.41,10.2,,115.58,23.86,6.14,47.5,,,13.7008,21.09,,44.0,9.59,20.8,14.37,22.32,27.76,25.14,19.5,74.01
