date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2009-01-02,,32.54,33.49,30.0,,10.12,23.4,51.35,54.2756,33.37,18.57,68.5901,52.11,23.25,12.59,,,12.5,,19.62,12.76,39.6252,23.23,1.72,,4.72,10.93,35.47,13.64,17.44,1137.6,1059.0,9.57,9.165,20.94,7.69,12.1,28.13,11.6167,,308.6,38.1,28.4,16.68,,7.85,75.58,86.07,21.61,,98.78,,,23.71,,30.32,,,,90.75,49.74,37.0201,,31.19,26.49,101.5,,,,,61.69,30.65,30.29,,77.0,,18.0203,29.77,,84.68,11.07,,120.05,26.7,9.25,52.92,,,17.1297,22.9,,48.2,12.53,23.52,15.5,23.94,29.34,26.56,21.62,80.06
2009-01-05,,33.45,34.16,29.94,,10.44,23.82,55.73,52.5867,33.11,19.2,69.68,51.98,23.84,14.21,,,13.25,,19.61,12.83,41.6606,23.7,1.85,,5.08,10.76,36.72,13.96,17.86,1136.4,1075.0,9.44,9.095,20.8,7.7,12.21,29.02,12.1633,,320.998,39.82,29.95,16.81,,7.62,75.42,83.74,22.87,,96.71,,,23.74,,30.5,,,,92.83,50.49,38.3401,,30.73,26.47,100.15,,,,,62.32,31.24,30.37,,76.07,,17.9901,30.51,,84.35,10.67,,115.6,27.4,8.91,53.0,,,17.4251,23.44,,50.04,12.6,24.18,15.89,24.11,29.74,27.12,22.32,81.27
2009-01-06,,32.91,33.86,30.04,,10.84,24.36,54.55,52.4178,33.08,20.3,69.31,53.13,23.37,14.09,,,13.95,,19.6,13.2,43.0938,23.85,1.94,,5.21,10.75,37.8999,14.22,18.7,1137.6,1098.0,9.31,9.115,20.88,7.76,12.53,29.71,13.2567,,332.98,38.9,31.55,17.56,,7.52,80.19,83.48,23.5,,96.21,,,23.93,,30.1,,,,93.92,50.82,38.0101,,29.79,26.75,101.25,,,,,62.5,31.86,31.06,,75.44,,17.9901,30.49,,84.32,11.03,,111.62,27.11,8.7,54.5,,,17.8355,23.97,,52.11,12.6,24.42,16.12,24.4,30.13,27.01,22.73,82.14
2009-01-07,,32.86,32.75,30.52,,11.17,24.34,56.29,53.1022,32.4,20.53,67.62,50.9,22.25,14.11,,,13.94,,20.06,12.82,41.9274,24.11,1.97,,5.64,11.05,39.22,14.18,18.72,1129.8,1081.0,9.27,9.2,20.95,7.665,12.68,29.69,12.9933,,328.318,37.35,30.93,19.15,,7.9,79.94,84.63,23.18,,96.74,,,23.797,,30.9,,,,92.11,50.27,39.0201,,29.15,25.26,101.24,,,,,61.33,31.95,34.2,,75.3,,17.4401,29.53,,84.45,11.13,,111.96,26.71,9.08,56.69,,,17.41,23.93,,51.1,12.36,24.26,16.06,23.69,29.46,26.07,22.47,79.25
2009-01-08,,33.26,32.71,29.5,,10.47,22.76,54.99,51.7778,31.3,19.8,67.3,49.38,22.13,13.76,,,14.55,,20.2,12.72,40.3952,23.97,1.9899,,6.0,10.9,37.6401,13.65,18.06,1112.4,1060.0,9.28,9.1,20.7,7.275,12.64,29.08,12.49,,318.282,36.79,29.02,17.68,,7.46,78.31,84.43,22.48,,97.01,,,23.797,,30.2,,,,90.34,49.38,37.8201,,27.9,25.55,100.6,,,,,60.91,32.11,31.72,,74.41,,17.0706,31.07,,84.33,11.03,,112.64,26.1,8.68,56.01,,,16.0935,23.59,,49.42,11.92,23.51,15.68,23.42,29.15,26.15,21.95,77.91
2009-01-09,,33.5,33.28,30.94,,10.78,24.04,56.92,50.7822,32.19,20.16,70.4501,50.21,22.67,13.73,,,14.5,,20.99,13.07,41.1651,23.89,1.91,,6.3,11.26,36.85,13.84,18.35,1107.0,1067.0,9.27,9.02,20.85,7.27,13.28,28.48,12.9367,,327.498,37.29,28.29,18.57,,7.64,78.86,83.43,22.52,,97.0,,,23.47,,29.63,,,,91.39,50.11,37.4601,,27.55,25.34,101.62,,,,,60.64,32.8199,32.67,,75.44,,17.5001,31.68,,84.39,10.92,,111.46,26.75,8.65,56.02,,,16.0985,23.94,,50.31,12.04,23.85,15.9,23.35,29.5,26.44,22.24,78.88
2009-01-12,,33.65,32.71,30.25,,10.4,23.22,54.12,47.8933,31.19,19.01,71.01,48.94,22.51,13.34,,,14.72,,20.12,12.97,39.1831,23.45,1.89,,6.05,10.45,36.5,13.35,17.88,1065.0,1042.0,9.18,8.775,20.05,7.1,12.28,27.34,12.3633,,316.31,37.17,27.98,18.09,,7.23,78.99,81.83,22.29,,97.38,,,22.95,,29.67,,,,89.03,47.95,37.0501,,25.92,24.82,102.2,,,,,59.75,32.11,31.67,,74.19,,16.79,29.83,,84.44,10.84,,111.57,26.58,8.07,55.29,,,15.1725,23.24,,47.97,11.5199,23.22,15.6,23.05,29.15,26.24,21.58,76.54
2009-01-13,,33.05,32.7,29.22,,9.82,20.59,50.96,44.7644,30.52,18.64,71.0,48.82,22.26,13.27,,,13.59,,20.43,12.77,38.3217,23.36,1.94,,6.5,9.26,36.11,12.74,17.0,1023.6,1015.0,8.88,8.445,19.27,7.12,11.8,26.88,11.7367,,311.768,36.57,27.55,14.45,,6.83,77.81,81.07,20.82,,97.98,,,22.37,,28.43,,,,86.93,46.63,36.4101,,25.21,24.53,101.62,,,,,59.96,32.5,27.58,,72.25,,16.79,29.5,,84.47,10.42,,113.5,24.92,7.3,52.75,,,14.8871,22.37,,46.8,10.79,22.71,15.32,23.02,29.19,25.81,20.92,76.46
2009-01-14,,33.86,31.63,29.59,,9.92,20.8,50.1,46.2844,30.19,18.43,71.1701,47.7,21.96,13.54,,,12.98,,19.57,12.5,38.5122,23.01,1.83,,6.17,9.12,36.9299,12.57,17.02,982.2,1000.0,8.76,8.475,18.69,7.08,11.43,27.37,11.65,,310.0,35.9,27.5,14.8,,6.4,75.55,80.63,20.0,,98.72,,,21.68,,27.61,,,,85.84,46.32,36.7101,,25.59,24.51,101.67,,,,,59.05,31.7,27.98,,72.46,,16.3004,29.62,,84.52,10.37,,114.65,24.7,7.11,52.01,,,14.8221,22.19,,47.12,10.73,21.99,15.03,22.75,28.2,25.6,20.19,77.04
2009-01-15,,32.3,31.82,27.97,,9.78,20.1,48.56,45.92,29.68,18.18,70.5999,46.85,22.18,13.24,,,12.7,,18.69,12.44,37.323,23.05,1.77,,5.79,8.58,35.75,12.38,16.52,964.8,983.0,8.77,8.315,18.3,6.88,11.29,26.22,11.33,,297.57,36.29,26.7,13.81,,6.08,75.11,80.09,18.62,,98.97,,,21.67,,27.35,,,,84.3,45.31,35.1711,,26.54,24.2,101.4,,,,,57.09,30.73,26.5,,70.72,,16.1303,29.13,,84.56,10.4,,116.2,24.06,6.55,50.38,,,14.4867,21.7,,45.52,10.43,21.55,14.73,22.51,28.23,25.72,19.99,74.7
