date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2009-01-02,,3787400.0,2239900.0,1742500.0,,10074600.0,3214400.0,145933338.0,1671500.0,703000.0,10955700.0,1454259.0,1405601.0,9881600.0,1479600.0,,,1193600.0,,1411200.0,2395400.0,15538296.0,7153600.0,28222.0,,588500.0,2895027.0,3452804.0,1940740.0,1280200.0,372700.0,2811460.0,4708865.0,365567.0,153399.0,3028524.0,541886.0,2926045.0,9944231.0,,144961322.0,994400.0,330982.0,9003400.0,,9386359.0,673523.0,1772260.0,17743.0,,455200.0,,,1143.0,,99137.0,,,,3876752.0,51589449.0,17718.0,,32494900.0,10098400.0,1095886.0,,,,,11135700.0,2187889.0,4334500.0,,372081.0,,732544.0,5103460.0,,1138500.0,6438605.0,,3464200.0,4885900.0,692500.0,13199200.0,,,862698.0,14220138.0,,68567296.0,117919090.0,6659438.0,8959878.0,3757900.0,10750824.0,3589070.0,17581190.0,35803700.0
2009-01-05,,4469100.0,3476800.0,1873300.0,,16247500.0,3226900.0,190234317.0,2281700.0,896400.0,16019200.0,1359342.0,1677813.0,16995000.0,1283400.0,,,2113400.0,,1392400.0,3931600.0,20390217.0,5800800.0,67430.0,,446400.0,3270513.0,5197522.0,4108596.0,3321300.0,788100.0,3235368.0,8367845.0,417575.0,488973.0,6392565.0,1635474.0,2729265.0,20832869.0,,196293007.0,1023100.0,217336.0,12579500.0,,12572418.0,1907408.0,2536900.0,31440.0,,1383500.0,,,1898.0,,65030.0,,,,6354106.0,59250520.0,182172.0,,44069400.0,9812000.0,2938399.0,,,,,14322800.0,2726755.0,6363000.0,,573528.0,,1275244.0,6335736.0,,5046300.0,10781350.0,,5395200.0,8518900.0,704400.0,16600000.0,,,761226.0,21107600.0,,95289508.0,127885266.0,11182040.0,12531878.0,6645500.0,13621966.0,3880603.0,12899920.0,43340100.0
2009-01-06,,4020100.0,3132800.0,2029000.0,,26660800.0,4051200.0,221688397.0,2586900.0,1349300.0,13820200.0,1960133.0,1558769.0,21021100.0,1147400.0,,,2972500.0,,1618000.0,2969500.0,17082142.0,6190400.0,16986.0,,708400.0,4116092.0,7825872.0,3520641.0,2792300.0,471700.0,3302912.0,6473257.0,247352.0,329716.0,4957390.0,873917.0,2974054.0,21318881.0,,257971329.0,1368200.0,336165.0,17587400.0,,15475010.0,2267334.0,2476410.0,34681.0,,900800.0,,,15051.0,,69752.0,,,,6393460.0,77986945.0,202680.0,,44216300.0,21260400.0,2036594.0,,,,,13401600.0,2086000.0,11742000.0,,797360.0,,1451419.0,7348672.0,,1459700.0,6884464.0,,4109300.0,7423000.0,745300.0,32506400.0,,,730488.0,26710440.0,,96752734.0,153337176.0,13438270.0,16853650.0,8797400.0,19162836.0,5732079.0,14270590.0,41906100.0
2009-01-07,,5442100.0,2280200.0,2362800.0,,25620900.0,3699300.0,158854998.0,1933100.0,696400.0,15699900.0,2416854.0,1913973.0,15707800.0,1097000.0,,,3248900.0,,1760800.0,3247900.0,13447170.0,7852400.0,25114.0,,872300.0,3269216.0,9006999.0,2362769.0,1149500.0,681600.0,5246892.0,5315945.0,375681.0,384287.0,4588163.0,316101.0,3523024.0,18219760.0,,180453860.0,1451400.0,627826.0,11795800.0,,13466332.0,1748078.0,3700910.0,18786.0,,296700.0,,,3720.0,,85959.0,,,,4366062.0,77662086.0,163356.0,,42156500.0,14156800.0,1677034.0,,,,,12415600.0,2330470.0,7921700.0,,638904.0,,1433194.0,8435488.0,,2015400.0,9936160.0,,2565600.0,8228400.0,695500.0,28441600.0,,,1026518.0,22702720.0,,78431398.0,131015946.0,10726110.0,12421862.0,4228700.0,9760890.0,3947269.0,9687408.0,35268800.0
2009-01-08,,3203800.0,2819900.0,1424100.0,,22078800.0,2986300.0,131611698.0,2350200.0,1061700.0,12255100.0,2008113.0,1574185.0,14311800.0,722500.0,,,3594200.0,,1944800.0,3813300.0,10084393.0,5430000.0,21430.0,,584400.0,2354780.0,6297935.0,1069333.0,723000.0,500300.0,4439872.0,5735913.0,153657.0,56417.0,6255510.0,314341.0,2847001.0,16616580.0,,144567852.0,987900.0,262669.0,11435000.0,,11523644.0,972095.0,1890555.0,13872.0,,262600.0,,,3720.0,,80797.0,,,,3967569.0,59215887.0,38172.0,,52075800.0,18790000.0,1445169.0,,,,,11508100.0,3348722.0,5340400.0,,571905.0,,860119.0,12399980.0,,805800.0,9007185.0,,2603600.0,6106900.0,526200.0,34683600.0,,,1548988.0,18218544.0,,66548796.0,132274643.0,11184350.0,11421464.0,6252100.0,16787350.0,5521646.0,10785818.0,30817100.0
2009-01-09,,4375800.0,1980900.0,1186900.0,,17581600.0,3198600.0,133706018.0,1826500.0,745700.0,12592200.0,2984007.0,1687454.0,16701200.0,862500.0,,,2757300.0,,3526800.0,3958700.0,13818013.0,4370000.0,20650.0,,440200.0,3439289.0,4780263.0,1916756.0,901900.0,684500.0,2774984.0,8126150.0,364378.0,32558.0,4448165.0,263785.0,2215120.0,16142520.0,,174270770.0,1522600.0,281019.0,8626300.0,,11461536.0,826579.0,1465320.0,13824.0,,278700.0,,,2147.0,,74483.0,,,,2805173.0,82730062.0,35712.0,,42597500.0,14138200.0,2232596.0,,,,,10843200.0,2121001.0,4405000.0,,444313.0,,1061100.0,8755212.0,,847200.0,8502326.0,,2727900.0,5931400.0,695200.0,16702400.0,,,872298.0,19521488.0,,79914704.0,125745788.0,6161375.0,7885510.0,6061400.0,8962382.0,3906385.0,8215304.0,32862000.0
2009-01-12,,4756400.0,1860500.0,3155200.0,,20137600.0,3179400.0,191146277.0,1824600.0,833300.0,12252600.0,2295861.0,1133407.0,13191500.0,794000.0,,,2443300.0,,1662000.0,3162800.0,15255605.0,7965200.0,33399.0,,696400.0,4453075.0,3054264.0,1991143.0,1591700.0,301900.0,3150200.0,7000608.0,236649.0,69858.0,5099280.0,206708.0,2514793.0,19883900.0,,132667413.0,1206800.0,197456.0,18149100.0,,13704853.0,867672.0,2661790.0,19189.0,,747700.0,,,1922.0,,56614.0,,,,3357533.0,53722301.0,134688.0,,59360000.0,12365600.0,1053247.0,,,,,11373200.0,2791819.0,9519500.0,,396858.0,,470813.0,9033996.0,,1228000.0,8512579.0,,2462800.0,6242600.0,620600.0,31520400.0,,,810218.0,15478670.0,,68882140.0,179488048.0,8466847.0,10259138.0,6542400.0,9365486.0,4811669.0,10140630.0,38112100.0
2009-01-13,,8009800.0,2650200.0,1664300.0,,22413900.0,2652100.0,157698658.0,2585800.0,963200.0,11864800.0,2356749.0,1625684.0,13311200.0,982500.0,,,1860900.0,,1520400.0,3562800.0,16274735.0,8797200.0,12903.0,,680600.0,4357347.0,4603537.0,2187684.0,726700.0,298900.0,4004831.0,10109402.0,142078.0,76152.0,4783789.0,181093.0,2750865.0,19469801.0,,177964564.0,944100.0,286173.0,15062400.0,,16181479.0,613494.0,2214130.0,24028.0,,157700.0,,,920.0,,46539.0,,,,4676014.0,62646699.0,935242.0,,73422800.0,15566400.0,1165334.0,,,,,15791900.0,2715804.0,6012400.0,,762043.0,,792788.0,8463296.0,,583400.0,11173980.0,,1767400.0,10393800.0,800300.0,23133200.0,,,773388.0,15887764.0,,93531796.0,253377222.0,19223420.0,17308206.0,9802600.0,15601986.0,5286115.0,15952618.0,47116500.0
2009-01-14,,7292400.0,2620200.0,1629600.0,,15423400.0,3789900.0,209055397.0,2882800.0,1186300.0,17040000.0,2279694.0,1728097.0,17137600.0,906000.0,,,2421400.0,,1427200.0,3842600.0,19027004.0,8901600.0,19377.0,,692600.0,3474167.0,4525037.0,2394869.0,797700.0,460100.0,4828835.0,9618399.0,120173.0,105533.0,5042140.0,374037.0,2470244.0,26698811.0,,219535801.0,1510800.0,359903.0,13678600.0,,13319747.0,1005961.0,2605175.0,36374.0,,321100.0,,,2159.0,,93244.0,,,,4953407.0,74647961.0,191850.0,,73907300.0,15502600.0,2006965.0,,,,,16108100.0,3264333.0,6771400.0,,550095.0,,1413450.0,11192176.0,,1117800.0,7126790.0,,2494800.0,7846700.0,709300.0,25246800.0,,,642248.0,19553324.0,,81218882.0,201367472.0,15643090.0,17026572.0,5902500.0,13091478.0,3907528.0,13933930.0,48040500.0
2009-01-15,,4892400.0,2946200.0,2210300.0,,20151000.0,4128300.0,232416997.0,3324100.0,1579000.0,25799300.0,2493778.0,2955265.0,17025700.0,1049100.0,,,2219000.0,,1888800.0,4427600.0,30470675.0,10994000.0,18279.0,,662100.0,5347928.0,3868855.0,3138960.0,3381900.0,5349600.0,6120444.0,9266715.0,332357.0,126930.0,5164560.0,479783.0,3354487.0,34128551.0,,238269759.0,1524800.0,574336.0,17956100.0,,16811132.0,1122456.0,1043685.0,21036.0,,414500.0,,,2843.0,,78269.0,,,,7358489.0,100641000.0,116652.0,,136759300.0,13766400.0,2085999.0,,,,,18807200.0,3020721.0,10317500.0,,1017659.0,,1831106.0,8920368.0,,4473500.0,4703714.0,,2827200.0,10735100.0,913800.0,47446400.0,,,703782.0,29909500.0,,88215438.0,326492960.0,14149160.0,15304466.0,7621300.0,15866510.0,7710771.0,24993620.0,55562200.0
