symbol,eodhd_identifier,identifiers_tried,status,n_observations,first_date,last_date,dataset_a_overlap_obs,dataset_a_return_corr,dataset_a_median_abs_return_diff,dataset_a_verdict,note
ABBV,ABBV.US,,ok,2325,2012-12-10,2022-03-04,548,1.0,0.0,match,
ACN,ACN.US,,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AEP,AEP.US,,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AIZ,AIZ.US,AIZ.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
ALLE,ALLE.US,ALLE.US,ok,2088,2013-11-18,2022-03-04,548,1.0,0.0,match,
AMAT,AMAT.US,AMAT.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AMP,AMP.US,AMP.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AMZN,AMZN.US,AMZN.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AVB,AVB.US,AVB.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AVY,AVY.US,AVY.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
AXP,AXP.US,AXP.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
BDX,BDX.US,BDX.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
BF-B,BF-B.US,BF-B.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
BMY,BMY.US,BMY.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
BR,BR.US,BR.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
CARR,CARR.US,CARR.US,ok,495,2020-03-19,2022-03-04,495,1.0,1e-06,match,
CDW,CDW.US,CDW.US,ok,2188,2013-06-27,2022-03-04,548,1.0,0.0,match,
CE,CE.US,CE.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
CHTR,CHTR.US,CHTR.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
CNC,CNC.US,CNC.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
