date,ABBV,ACN,AEP,AIZ,ALLE,AMAT,AMP,AMZN,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CARR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,CZR,DG,DPZ,DRE,DXC,EWA,EWC,EWG,EWH,EWJ,EWL,EWQ,EWT,EWU,EWY,EWZ,FTV,GOOG,GPC,GSG,HIG,HIGH.L,HST,HYG,IAU,ICLN,IEAA.L,IEF,IEFM.L,IEMG,IEUS,IEVL.L,IGF,INDA,IUMO.L,IUVL.L,IVV,IWM,IXN,JPEA.L,JPM,KR,LQD,MCHI,META,MVEU.L,OGN,PG,PPL,PRU,PYPL,RE,REET,ROL,ROST,SEGA.L,SHY,SLV,SPMV.L,TLT,UNH,URI,V,VRSK,VXX,WRK,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2012-03-05,,45.8435,22.7287,32.8011,,9.7581,40.8041,9.013,83.5644,21.874,43.3986,45.6557,15.8639,20.2648,18.0778,,,36.3695,62.35,11.64,11.7427,36.5581,8.0699,3.95,37.0501,30.407,9.8545,5.3657,12.514,21.1194,16.1615,11.0922,30.3764,17.6609,14.8223,14.7168,19.6955,46.4734,36.1838,,15.1652,41.1911,35.9,15.0338,,8.7831,41.2675,33.26,7.0811,,76.58,,,23.4306,,22.5868,21.9537,,,105.8609,66.0843,9.7948,,27.4169,7.7317,70.0958,34.2302,,,,44.1487,13.8951,34.2541,,66.0478,,4.8458,23.8927,,67.5475,33.032,,77.6525,43.5725,40.8974,26.2303,41.4238,,24.7765,13.6537,,22.58,9.2274,28.2927,11.9532,22.6615,10.8122,28.4641,18.352,49.7061
2012-03-06,,44.7742,22.6871,32.2184,,9.7419,39.7976,9.0545,82.7281,21.1397,42.3909,45.3133,15.6935,19.9016,17.8822,,,35.1014,60.9,11.37,11.6515,36.0348,7.9285,3.96,36.6299,30.4149,9.6725,5.2111,12.1041,20.5882,15.3976,10.7654,30.1153,17.1605,14.1066,14.3664,19.0427,45.1268,34.9355,,14.9358,40.8499,35.28,14.4513,,8.5173,40.718,32.62,6.8629,,76.9015,,,22.6088,,22.002,21.1904,,,104.2261,64.7682,9.6689,,26.684,7.6838,69.9878,32.9379,,,,44.0762,13.7442,33.2631,,64.7605,,4.9018,23.8057,76.6668,67.5475,32.01,,78.5946,43.1134,39.8848,25.9143,41.6425,,24.0516,13.3746,,22.2121,9.003,27.656,11.835,22.4713,10.7691,28.0948,18.065,49.0491
2012-03-07,,44.8871,22.7108,32.0368,,9.8149,40.0768,9.1885,83.3538,20.9987,42.8251,45.5913,15.6856,19.994,17.9123,,,35.5006,60.54,11.4675,11.7306,36.3035,8.0256,3.96,36.4927,31.1567,9.7355,5.1976,12.1733,20.6472,15.6027,10.8579,30.315,17.3998,14.334,14.5745,19.2453,45.7061,35.1821,,14.9813,41.1178,35.44,14.5558,,8.6417,40.8315,32.84,6.8647,,76.7554,,,22.9143,,22.1355,21.4333,,,105.005,65.3769,9.7454,,27.1115,7.6902,69.9578,33.1682,,,,43.9047,13.7738,33.8365,,65.5285,,4.9188,23.8927,,67.5315,32.41,,78.1135,43.058,40.9456,26.0949,41.9848,,24.4804,13.4081,,22.3976,9.1152,27.9398,11.9241,22.5052,10.7752,28.2205,18.2718,49.032
2012-03-08,,45.3841,22.6871,31.5602,,9.8879,40.6425,9.382,83.0069,21.3399,43.3822,46.2862,15.621,20.1786,18.0477,,,35.8998,61.04,11.515,11.8096,36.3978,8.2873,4.56,37.2045,31.3698,9.7145,5.2581,12.3489,21.0087,16.1756,11.0121,30.8371,17.8133,14.8825,14.7606,19.4929,46.7474,35.6751,,14.9896,41.6403,35.62,14.877,,8.6756,41.1495,33.14,6.9468,,76.5289,,,23.4267,,22.466,21.8843,,,106.0383,66.2242,9.8679,,27.444,7.7765,69.9698,33.9834,,,,44.1157,13.8379,34.4489,,66.0844,,5.0016,24.0797,77.3097,67.5075,32.85,,77.3318,44.0238,41.7171,26.6206,41.9753,,24.7935,13.6313,,22.58,9.2025,28.3388,12.0444,22.6615,10.8092,28.5348,18.4575,48.4607
2012-03-09,,45.8284,22.699,31.4996,,10.0339,41.2008,9.216,85.3608,21.6218,43.5871,46.4192,15.6602,20.2587,18.3261,,,36.0799,61.09,11.695,11.7123,36.3695,8.2958,4.81,37.9163,31.4329,9.7145,5.2884,12.3223,21.0898,16.0837,11.0121,30.9599,17.7117,14.6952,14.7387,19.4366,46.7474,35.2765,,14.8195,41.594,35.8,14.989,,8.7944,41.1949,33.36,7.0283,,76.4704,,,23.2649,,22.4025,22.4135,,,106.4547,67.1208,9.9191,,27.8444,7.7701,69.9338,34.3779,,,,44.1355,13.9266,34.499,,66.7793,,5.1012,24.3494,,67.5075,33.22,,77.4854,44.1584,41.3506,26.4401,42.8785,,24.6472,13.6351,,22.5587,9.2772,28.4001,12.0983,22.7362,10.8524,28.6527,18.563,48.158
2012-03-12,,46.0468,22.9782,31.5753,,10.042,41.0319,9.1695,85.9555,21.555,43.2348,46.3527,15.7855,20.3448,18.3337,,,35.7667,62.47,11.4025,11.7792,36.4402,8.3211,4.87,37.4018,31.2593,9.7285,5.2346,12.2212,20.9054,16.1686,11.0059,30.6528,17.7407,14.8156,14.5526,19.4366,46.1524,34.7572,,14.9406,41.4352,35.74,14.9741,,8.7265,41.1949,33.1,6.9132,,76.4485,,,23.2379,,22.4343,22.1185,,,106.4701,66.9891,9.9191,,27.5119,7.7892,69.7958,34.096,,,,44.6499,14.0498,34.0815,,66.6988,,5.1134,24.6234,,67.5155,32.63,,77.4721,43.5567,40.7624,26.2957,42.5362,,24.317,13.5606,,22.434,9.2523,28.3925,12.1149,22.8177,10.9758,28.6527,18.5124,48.872
2012-03-13,,46.9956,23.198,32.4379,,10.1394,42.3176,9.2295,86.9652,21.9704,44.4473,47.0113,15.9931,20.5726,18.6063,,,37.215,62.89,11.4125,11.84,36.6523,8.4203,4.8,37.6162,31.6539,9.9175,5.285,12.482,21.2374,16.3666,11.271,30.9292,17.9075,15.0296,14.9796,19.8305,47.5929,35.7485,,15.2523,42.0371,35.86,15.579,,9.162,41.4946,32.54,7.0663,,75.9006,,,23.4843,,22.714,22.8038,,,108.3902,68.3217,10.0874,,29.446,7.7381,69.6039,35.0155,,,,44.7752,13.9857,35.1114,,67.9276,,5.1864,24.7713,,67.4755,32.255,,76.109,43.8021,41.6014,26.4627,43.1542,,25.1338,13.7839,,22.7047,9.6074,28.9832,12.3553,22.9875,11.0128,29.0612,18.7994,49.6204
2012-03-14,,47.1462,22.7524,31.9006,,10.1718,41.6931,9.113,85.9926,21.7998,46.004,46.8905,15.7757,20.6526,18.4851,,,36.3617,63.11,11.37,11.6393,36.5345,8.338,4.64,38.1308,31.2514,10.0154,5.2212,12.3383,20.8907,16.3737,11.16,30.576,17.8133,14.9293,14.8592,19.6617,46.9979,35.5702,,15.2081,42.1694,35.64,15.5342,,8.981,41.3902,32.0,6.9961,,75.0312,,,23.3511,,22.5423,22.4742,,,108.2514,67.7624,10.1327,,29.575,7.7765,68.776,34.1031,,,,44.7422,13.8477,34.2819,,67.9788,,5.0673,24.606,,67.3794,31.265,,74.1914,44.1584,41.3121,26.3453,42.4506,,24.6233,13.7307,,22.4857,9.6198,28.9141,12.4009,22.9196,10.8493,29.0533,18.7741,49.1405
2012-03-15,,47.9143,22.8178,30.9094,,10.3746,42.6261,9.2215,85.1192,22.1113,46.471,47.1866,15.6758,20.4556,18.6214,,,37.1602,63.49,11.5725,11.688,36.1197,8.4372,4.57,38.7054,31.6381,10.0784,5.3942,12.498,21.0456,16.6283,11.1785,30.8371,18.0599,15.0698,14.9358,19.7067,47.4912,35.4863,,15.3351,41.9709,35.46,16.1989,,8.9923,41.2494,32.34,7.0365,,75.0093,,,23.5241,,22.6123,22.4481,,,108.8992,68.3299,10.1927,,30.335,7.7988,68.6261,34.3499,,,,44.6301,13.8872,35.206,,68.2494,,5.1207,24.5103,,67.4194,31.53,,74.305,44.103,41.7171,26.4018,42.7739,,24.3034,13.8323,,22.5222,9.7881,29.2594,12.4341,22.9604,10.84,29.1005,18.8374,49.1805
2012-03-16,,47.9067,23.0079,30.1755,,10.3989,42.4057,9.2525,85.782,22.1855,46.3317,47.1987,15.717,20.4249,18.4927,,,37.0506,63.99,11.365,11.5968,36.3789,8.4879,4.02,38.328,31.5355,10.2184,5.3102,12.5725,21.1857,16.7344,11.2094,31.006,18.1469,15.2102,14.8482,19.9093,47.3346,35.4338,,15.4315,41.6336,36.0,16.3034,,9.0432,41.0995,32.38,7.0738,,74.9874,,,23.7109,,22.714,22.0838,,,109.0457,68.2723,10.2044,,30.2468,7.786,68.7281,34.3424,,,,44.3465,13.9512,35.4677,,67.7155,,5.0891,24.2668,,67.4595,31.59,,74.452,44.008,41.0613,26.3295,42.5267,,23.3232,13.8589,,22.8319,9.8256,29.2725,12.4283,22.9453,10.8313,29.0973,18.7768,49.3805
