symbol,eodhd_identifier,identifiers_tried,status,n_observations,first_date,last_date,dataset_a_identity_check,dataset_a_return_corr,dataset_a_overlap_obs,note
ABBV,ABBV.US,ABBV.US,ok,2556,2012-12-10,2023-02-03,match,1.0,779,
ACN,ACN.US,ACN.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AEP,AEP.US,AEP.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AIZ,AIZ.US,AIZ.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
ALLE,ALLE.US,ALLE.US,ok,2319,2013-11-18,2023-02-03,match,1.0,779,
AMAT,AMAT.US,AMAT.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AMP,AMP.US,AMP.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AMZN,AMZN.US,AMZN.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AVB,AVB.US,AVB.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AVY,AVY.US,AVY.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
AXP,AXP.US,AXP.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
BDX,BDX.US,BDX.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
BF-B,BF-B.US,BF-B.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
BMY,BMY.US,BMY.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
BR,BR.US,BR.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
CARR,CARR.US,CARR.US,ok,726,2020-03-19,2023-02-03,match,1.0,726,
CDW,CDW.US,CDW.US,ok,2419,2013-06-27,2023-02-03,match,1.0,779,
CE,CE.US,CE.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
CHTR,CHTR.US,CHTR.US,ok,3294,2010-01-05,2023-02-03,match,1.0,779,
CNC,CNC.US,CNC.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
CNP,CNP.US,CNP.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
COP,COP.US,COP.US,ok,3547,2009-01-02,2023-02-03,match,0.999759,779,
CTAS,CTAS.US,CTAS.US,ok,3547,2009-01-02,2023-02-03,match,0.999994,779,
CZR,CZR.US,CZR.US,ok,3546,2009-01-02,2023-02-03,match,1.0,779,
DG,DG.US,DG.US,ok,3328,2009-11-13,2023-02-03,match,1.0,779,
DPZ,DPZ.US,DPZ.US,ok,3547,2009-01-02,2023-02-03,match,1.0,779,
DRE,DRE.US,DRE.US,ok,3462,2009-01-02,2022-10-03,match,1.0,694,
