model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (independent quantile sampling),1,ABBV,0.018,0.108,0.159,0.355,0.36,0.04540500000000001
Chronos-2 120M (independent quantile sampling),1,ACN,0.221,0.185,0.134,0.217,0.243,0.1128652
Chronos-2 120M (independent quantile sampling),1,AEP,0.023,0.085,0.12,0.313,0.459,0.16377160000000002
Chronos-2 120M (independent quantile sampling),1,AIZ,0.051,0.113,0.154,0.284,0.398,0.09860499999999998
Chronos-2 120M (independent quantile sampling),1,ALLE,0.199,0.187,0.18,0.218,0.216,0.25072179999999994
Chronos-2 120M (independent quantile sampling),1,AMAT,0.303,0.129,0.098,0.132,0.338,0.1499154
Chronos-2 120M (independent quantile sampling),1,AMP,0.321,0.155,0.14,0.14,0.244,0.1073218
Chronos-2 120M (independent quantile sampling),1,AMZN,0.339,0.199,0.125,0.186,0.151,0.312947
Chronos-2 120M (independent quantile sampling),1,AVB,0.083,0.145,0.147,0.248,0.377,0.1183254
Chronos-2 120M (independent quantile sampling),1,AVY,0.469,0.202,0.121,0.133,0.075,0.14381819999999998
Chronos-2 120M (independent quantile sampling),1,AXP,0.366,0.157,0.13,0.146,0.201,0.17485900000000001
Chronos-2 120M (independent quantile sampling),1,BDX,0.104,0.212,0.23,0.276,0.178,0.30169440000000003
Chronos-2 120M (independent quantile sampling),1,BF-B,0.103,0.165,0.194,0.256,0.282,0.34188019999999997
Chronos-2 120M (independent quantile sampling),1,BMY,0.061,0.182,0.252,0.339,0.166,0.0670702
Chronos-2 120M (independent quantile sampling),1,BR,0.176,0.189,0.194,0.226,0.215,0.1045814
Chronos-2 120M (independent quantile sampling),1,CARR,0.209,0.177,0.15,0.186,0.278,0.14265139999999998
Chronos-2 120M (independent quantile sampling),1,CDW,0.218,0.168,0.137,0.186,0.291,0.10174599999999998
Chronos-2 120M (independent quantile sampling),1,CE,0.304,0.174,0.128,0.184,0.21,0.11284720000000001
Chronos-2 120M (independent quantile sampling),1,CHTR,0.459,0.222,0.132,0.112,0.075,0.0706072
Chronos-2 120M (independent quantile sampling),1,CNC,0.099,0.144,0.128,0.25,0.379,0.22442639999999997
Chronos-2 120M (independent quantile sampling),1,CNP,0.043,0.132,0.118,0.232,0.475,0.06878959999999999
Chronos-2 120M (independent quantile sampling),1,COP,0.076,0.062,0.086,0.166,0.61,0.3446192
Chronos-2 120M (independent quantile sampling),1,CTAS,0.16,0.2,0.175,0.252,0.213,0.21215879999999995
Chronos-2 120M (independent quantile sampling),1,CZR,0.378,0.109,0.084,0.118,0.311,0.18616300000000002
Chronos-2 120M (independent quantile sampling),1,DG,0.124,0.182,0.202,0.247,0.245,0.0854202
Chronos-2 120M (independent quantile sampling),1,DPZ,0.345,0.165,0.126,0.158,0.206,0.1688114
