scope,round,mean_RPS,copula_RPS,difference_vs_copula,naive_RPS,difference_vs_naive
round,1,0.192415,0.195303,-0.002888,0.16,0.032415
round,2,0.168987,0.167976,0.001011,0.16,0.008987
round,3,0.159132,0.160341,-0.001209,0.16,-0.000868
round,4,0.167611,0.165295,0.002316,0.16,0.007611
round,5,0.160434,0.159533,0.000901,0.16,0.000434
round,6,0.149747,0.144711,0.005036,0.16,-0.010253
round,7,0.171792,0.171117,0.000675,0.16,0.011792
round,8,0.162146,0.156544,0.005602,0.16,0.002146
round,9,0.160128,0.157027,0.003101,0.16,0.000128
round,10,0.168075,0.17007,-0.001995,0.16,0.008075
round,11,0.146553,0.149713,-0.00316,0.16,-0.013447
round,12,0.179684,0.187384,-0.0077,0.16,0.019684
overall,,0.165559,0.165418,0.000141,0.16,0.005559
