round,context_rows,usable_historical_rows,assets_with_leading_gaps,temporal_rho,ledoit_wolf_shrinkage,min_eigenvalue_before_repair,min_eigenvalue_after_repair
1,512,210,"CARR:1, OGN:302",-0.017908,0.043188,0.0470307538,0.0470307538
2,512,230,OGN:282,-0.006034,0.038056,0.0411912,0.0411912
3,512,250,OGN:262,-0.006415,0.034574,0.0376268579,0.0376268579
4,512,270,OGN:242,-0.00736,0.030171,0.0330706791,0.0330706791
5,512,290,OGN:222,0.008709,0.026167,0.0289668592,0.0289668592
6,512,310,OGN:202,0.006847,0.024474,0.0273307697,0.0273307697
7,512,330,OGN:182,0.003354,0.02292,0.0256480061,0.0256480061
8,512,350,OGN:162,0.004281,0.020765,0.0234106472,0.0234106472
9,512,370,OGN:142,0.013701,0.018235,0.0208708505,0.0208708505
10,512,390,OGN:122,0.012094,0.017263,0.0196257742,0.0196257742
11,512,410,OGN:102,0.01217,0.016462,0.0186338886,0.0186338886
12,512,430,OGN:82,0.005269,0.015335,0.0174668307,0.0174668307
