model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (spatiotemporal Gaussian copula),1,ABBV,0.029,0.079,0.177,0.337,0.378,0.0473228
Chronos-2 120M (spatiotemporal Gaussian copula),1,ACN,0.143,0.198,0.203,0.248,0.208,0.09518599999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,AEP,0.049,0.074,0.125,0.231,0.521,0.17089500000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,AIZ,0.018,0.103,0.15,0.299,0.43,0.08266120000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,ALLE,0.181,0.222,0.203,0.231,0.163,0.24179499999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,AMAT,0.286,0.133,0.109,0.124,0.348,0.15264899999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,AMP,0.281,0.192,0.14,0.188,0.199,0.09841200000000001
Chronos-2 120M (spatiotemporal Gaussian copula),1,AMZN,0.339,0.196,0.155,0.142,0.168,0.31389400000000006
Chronos-2 120M (spatiotemporal Gaussian copula),1,AVB,0.049,0.127,0.162,0.256,0.406,0.1272914
Chronos-2 120M (spatiotemporal Gaussian copula),1,AVY,0.508,0.228,0.134,0.092,0.038,0.1636208
Chronos-2 120M (spatiotemporal Gaussian copula),1,AXP,0.381,0.171,0.127,0.136,0.185,0.18902620000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,BDX,0.155,0.178,0.216,0.245,0.206,0.28095020000000004
Chronos-2 120M (spatiotemporal Gaussian copula),1,BF-B,0.088,0.16,0.189,0.251,0.312,0.36231220000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,BMY,0.08,0.19,0.231,0.276,0.223,0.07600599999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,BR,0.125,0.179,0.236,0.243,0.217,0.08934600000000001
Chronos-2 120M (spatiotemporal Gaussian copula),1,CARR,0.222,0.178,0.161,0.192,0.247,0.13260279999999997
Chronos-2 120M (spatiotemporal Gaussian copula),1,CDW,0.177,0.171,0.162,0.207,0.283,0.0945244
Chronos-2 120M (spatiotemporal Gaussian copula),1,CE,0.276,0.21,0.159,0.179,0.176,0.0994746
Chronos-2 120M (spatiotemporal Gaussian copula),1,CHTR,0.466,0.197,0.144,0.113,0.08,0.07487479999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,CNC,0.087,0.114,0.159,0.2,0.44,0.24983399999999997
Chronos-2 120M (spatiotemporal Gaussian copula),1,CNP,0.045,0.093,0.112,0.25,0.5,0.0667138
Chronos-2 120M (spatiotemporal Gaussian copula),1,COP,0.057,0.06,0.074,0.137,0.672,0.37780059999999993
Chronos-2 120M (spatiotemporal Gaussian copula),1,CTAS,0.135,0.205,0.228,0.256,0.176,0.22708499999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,CZR,0.364,0.132,0.089,0.105,0.31,0.18536740000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,DG,0.136,0.156,0.182,0.211,0.315,0.0855322
Chronos-2 120M (spatiotemporal Gaussian copula),1,DPZ,0.385,0.14,0.114,0.148,0.213,0.155908
Chronos-2 120M (spatiotemporal Gaussian copula),1,DRE,0.068,0.149,0.224,0.285,0.274,0.064254
Chronos-2 120M (spatiotemporal Gaussian copula),1,DXC,0.56,0.11,0.073,0.086,0.171,0.17155800000000004
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWA,0.006,0.05,0.185,0.368,0.391,0.042826800000000005
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWC,0.0,0.066,0.295,0.463,0.176,0.08873059999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWG,0.601,0.261,0.097,0.032,0.009,0.6012014
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWH,0.343,0.303,0.208,0.11,0.036,0.1115154
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWJ,0.172,0.454,0.283,0.085,0.006,0.0355554
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWL,0.173,0.422,0.31,0.087,0.008,0.2406086
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWQ,0.407,0.299,0.184,0.088,0.022,0.48253379999999985
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWT,0.104,0.303,0.301,0.235,0.057,0.24859560000000003
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWU,0.225,0.336,0.255,0.151,0.033,0.2064582
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWY,0.199,0.289,0.248,0.191,0.073,0.075354
Chronos-2 120M (spatiotemporal Gaussian copula),1,EWZ,0.108,0.13,0.135,0.2,0.427,0.10715319999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,FTV,0.301,0.281,0.198,0.134,0.086,0.06422419999999998
Chronos-2 120M (spatiotemporal Gaussian copula),1,GOOG,0.118,0.195,0.231,0.236,0.22,0.0912458
Chronos-2 120M (spatiotemporal Gaussian copula),1,GPC,0.389,0.272,0.177,0.109,0.053,0.05905899999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,GSG,0.025,0.036,0.045,0.141,0.753,0.6397182
Chronos-2 120M (spatiotemporal Gaussian copula),1,HIG,0.245,0.214,0.172,0.176,0.193,0.1412232
Chronos-2 120M (spatiotemporal Gaussian copula),1,HIGH.L,0.101,0.355,0.362,0.169,0.013,0.06788600000000002
Chronos-2 120M (spatiotemporal Gaussian copula),1,HST,0.303,0.17,0.135,0.175,0.217,0.25965819999999995
Chronos-2 120M (spatiotemporal Gaussian copula),1,HYG,0.021,0.307,0.446,0.223,0.003,0.10062199999999999
Chronos-2 120M (spatiotemporal Gaussian copula),1,IAU,0.06,0.152,0.223,0.282,0.283,0.3807716
Chronos-2 120M (spatiotemporal Gaussian copula),1,ICLN,0.168,0.143,0.138,0.177,0.374,0.1436844
Chronos-2 120M (spatiotemporal Gaussian copula),1,IEAA.L,0.101,0.29,0.323,0.24,0.046,0.2525988
