model,round,npz_file,forecast_start,forecast_end,origin_after_acquisition,all_zero,n_exact_zero_values,n_values,min_daily_log_return,max_daily_log_return,mean_daily_log_return,min_four_week_return,max_four_week_return,median_four_week_return
Chronos T5 Base 200M,1,chronos_t5_base_round01_samples.npz,2022-03-07,2022-04-01,False,False,0,2000,-0.0037266951985657215,0.00450670113787055,-0.0003498326682031845,-0.02836353596519339,0.03079831471352295,-0.007812705669896787
Chronos T5 Base 200M,2,chronos_t5_base_round02_samples.npz,2022-04-04,2022-04-29,False,False,0,2000,-0.003185061039403081,0.004894118290394545,4.800897415567314e-05,-0.018166486853973887,0.018344383841135087,0.0016716115760463087
Chronos T5 Base 200M,3,chronos_t5_base_round03_samples.npz,2022-05-02,2022-05-27,False,False,0,2000,-0.003556031733751297,0.0043882946483790874,-0.0004726496208008212,-0.031351005358146104,0.007670958500099998,-0.009862491482312333
Chronos T5 Base 200M,4,chronos_t5_base_round04_samples.npz,2022-05-30,2022-06-24,False,False,0,2000,-0.0031877385918051004,0.00606447784230113,-0.00029152258404753603,-0.025861372347023803,0.029185175897357078,-0.0058915516186258746
Chronos T5 Base 200M,5,chronos_t5_base_round05_samples.npz,2022-06-27,2022-07-22,False,False,0,2000,-0.003706785151734948,0.005363008473068476,-0.0004396484034993213,-0.024691146077897,0.008872318796957096,-0.00871611488725282
Chronos T5 Base 200M,6,chronos_t5_base_round06_samples.npz,2022-07-25,2022-08-19,False,False,0,2000,-0.003398085245862603,0.004188337363302708,-0.0003664005210426204,-0.024045950477945076,0.015770052767175448,-0.007792971374912848
Chronos T5 Base 200M,7,chronos_t5_base_round07_samples.npz,2022-08-22,2022-09-16,False,False,0,2000,-0.003708308096975088,0.002682605991140008,-0.00022415540760563674,-0.02631580319939229,0.019759937903089345,-0.005272363800009639
Chronos T5 Base 200M,8,chronos_t5_base_round08_samples.npz,2022-09-19,2022-10-14,False,False,0,2000,-0.003457143669947982,0.002572757890447974,-0.00048773863129383967,-0.0265740863570289,0.00855867876576862,-0.009561635900311869
Chronos T5 Base 200M,9,chronos_t5_base_round09_samples.npz,2022-10-17,2022-11-11,True,False,0,2000,-0.005065112840384245,0.012583638541400433,-0.00014692772730787773,-0.03613227866247013,0.02499980895538266,3.016094045734491e-09
Chronos T5 Base 200M,10,chronos_t5_base_round10_samples.npz,2022-11-14,2022-12-09,True,False,0,2000,-0.001949685043655336,1.4288835392672894e-10,-2.8493971975041833e-06,-0.001947782932791834,2.8577670826179956e-09,2.8577670826179956e-09
