model,round,mean_max_probability,mean_probability_entropy,max_possible_entropy,cross_asset_median_spread,within_asset_sample_spread,dispersion_ratio
Chronos T5 Base 200M,1,0.5361,1.054894530334766,1.6094379124341003,0.025197756145978408,0.011104309774543922,2.26918706858692
Chronos T5 Base 200M,2,0.5485,1.015994154763018,1.6094379124341003,0.0217782403223627,0.010054602574383883,2.165997130294054
Chronos T5 Base 200M,3,0.5347999999999999,1.074171637712654,1.6094379124341003,0.021865290021384223,0.010023526896972682,2.1813968522385077
Chronos T5 Base 200M,4,0.5574999999999999,1.011441571208691,1.6094379124341003,0.02308395378620351,0.0100375321712632,2.2997638654938872
Chronos T5 Base 200M,5,0.5092,1.1227488373189953,1.6094379124341003,0.018384984647900525,0.010647869087986778,1.72663511318363
Chronos T5 Base 200M,6,0.5101,1.0983605112268817,1.6094379124341003,0.022276936443754485,0.010730738198964846,2.075992912202765
Chronos T5 Base 200M,7,0.5303,1.074054749456658,1.6094379124341003,0.01716794488224266,0.009309461669899882,1.8441393810934816
Chronos T5 Base 200M,8,0.5035000000000001,1.1174137561310713,1.6094379124341003,0.016851163347523648,0.009655319419340154,1.7452724882172008
Chronos T5 Base 200M,9,0.5231999999999999,1.0709837177996944,1.6094379124341003,0.016172574579709897,0.00956170288709038,1.6913906205499343
Chronos T5 Base 200M,10,0.5235,1.0557759257303072,1.6094379124341003,0.017458205219571775,0.00975506415431948,1.7896556028123498
Chronos T5 Base 200M,11,0.5334,1.0542416871959894,1.6094379124341003,0.019121876479002608,0.009823430521006135,1.9465579196710303
Chronos T5 Base 200M,12,0.5388000000000001,1.0234971047663957,1.6094379124341003,0.01735072475032622,0.009295147423588645,1.8666433096364488
Financial Chronos Small 46M 2021 Global,1,0.42949999999999994,1.3043309969584547,1.6094379124341003,0.020534568871153243,0.02397757971882386,0.8564070732723852
Financial Chronos Small 46M 2021 Global,2,0.3739,1.413726986189086,1.6094379124341003,0.00979974510963281,0.015123739807764918,0.6479710200119528
Financial Chronos Small 46M 2021 Global,3,0.42890000000000006,1.3265825250845924,1.6094379124341003,0.01617039851929583,0.02166886751180885,0.7462502832916151
Financial Chronos Small 46M 2021 Global,4,0.3713000000000001,1.43871486870308,1.6094379124341003,0.00807281191254145,0.016281555617811524,0.49582558952229605
Financial Chronos Small 46M 2021 Global,5,0.396,1.387185391719959,1.6094379124341003,0.011034072044911865,0.021897297337994538,0.5039010922031175
Financial Chronos Small 46M 2021 Global,6,0.3849,1.4026320537451127,1.6094379124341003,0.00848828542578392,0.017607809363536356,0.482075041280384
Financial Chronos Small 46M 2021 Global,7,0.3997,1.374410660452704,1.6094379124341003,0.008661708653869357,0.014185234072102544,0.6106144325742179
Financial Chronos Small 46M 2021 Global,8,0.3987,1.3872822052737976,1.6094379124341003,0.009424656979664226,0.018998587121856193,0.49607146674722946
Financial Chronos Small 46M 2021 Global,9,0.3911,1.414565590678973,1.6094379124341003,0.009610781725131221,0.024928696764405154,0.3855308528945698
Financial Chronos Small 46M 2021 Global,10,0.3951999999999999,1.3924583792875465,1.6094379124341003,0.008833491188096275,0.018686559358068688,0.47271897511095606
Financial Chronos Small 46M 2021 Global,11,0.40820000000000006,1.3730682962537495,1.6094379124341003,0.009794520791410372,0.016603704871098083,0.5898997162048818
Financial Chronos Small 46M 2021 Global,12,0.3761,1.4209992383477166,1.6094379124341003,0.007742063605784865,0.015789928903978376,0.4903165589196669
