round,symbol,start_date,end_date,actual_return,Rank1,Rank2,Rank3,Rank4,Rank5,tied_assets_in_round
1,ABBV,2022-03-04,2022-04-01,0.08050248553837255,0.0,0.0,0.0,1.0,0.0,0
1,ACN,2022-03-04,2022-04-01,0.08428954111720392,0.0,0.0,0.0,1.0,0.0,0
1,AEP,2022-03-04,2022-04-01,0.053778226586167634,0.0,0.0,1.0,0.0,0.0,0
1,AIZ,2022-03-04,2022-04-01,0.09463178804777064,0.0,0.0,0.0,0.0,1.0,0
1,ALLE,2022-03-04,2022-04-01,-0.04569824950412719,1.0,0.0,0.0,0.0,0.0,0
1,AMAT,2022-03-04,2022-04-01,0.013284298407967384,0.0,1.0,0.0,0.0,0.0,0
1,AMP,2022-03-04,2022-04-01,0.05655414608767291,0.0,0.0,1.0,0.0,0.0,0
1,AMZN,2022-03-04,2022-04-01,0.1230354089851073,0.0,0.0,0.0,0.0,1.0,0
1,AVB,2022-03-04,2022-04-01,0.03507569934159961,0.0,0.0,1.0,0.0,0.0,0
1,AVY,2022-03-04,2022-04-01,0.04445773524720899,0.0,0.0,1.0,0.0,0.0,0
1,AXP,2022-03-04,2022-04-01,0.08221699800085594,0.0,0.0,0.0,1.0,0.0,0
1,BDX,2022-03-04,2022-04-01,-0.019868774029482315,1.0,0.0,0.0,0.0,0.0,0
1,BF-B,2022-03-04,2022-04-01,-0.027951521805076086,1.0,0.0,0.0,0.0,0.0,0
1,BMY,2022-03-04,2022-04-01,0.07215421457363418,0.0,0.0,0.0,1.0,0.0,0
1,BR,2022-03-04,2022-04-01,0.06487629286222607,0.0,0.0,0.0,1.0,0.0,0
1,CARR,2022-03-04,2022-04-01,0.02311289848851124,0.0,1.0,0.0,0.0,0.0,0
1,CDW,2022-03-04,2022-04-01,0.03630867667987913,0.0,0.0,1.0,0.0,0.0,0
1,CE,2022-03-04,2022-04-01,0.01253753320244828,0.0,1.0,0.0,0.0,0.0,0
1,CHTR,2022-03-04,2022-04-01,0.021366355718000475,0.0,1.0,0.0,0.0,0.0,0
1,CNC,2022-03-04,2022-04-01,-0.006275421266705311,0.0,1.0,0.0,0.0,0.0,0
1,CNP,2022-03-04,2022-04-01,0.0744887507505387,0.0,0.0,0.0,1.0,0.0,0
1,COP,2022-03-04,2022-04-01,0.006004184100418539,0.0,1.0,0.0,0.0,0.0,0
1,CTAS,2022-03-04,2022-04-01,0.11856529170677596,0.0,0.0,0.0,0.0,1.0,0
1,CZR,2022-03-04,2022-04-01,-0.027284263959390757,1.0,0.0,0.0,0.0,0.0,0
1,DG,2022-03-04,2022-04-01,0.07260942358287492,0.0,0.0,0.0,1.0,0.0,0
1,DPZ,2022-03-04,2022-04-01,-0.03721361441480233,1.0,0.0,0.0,0.0,0.0,0
1,DRE,2022-03-04,2022-04-01,0.07868351822212412,0.0,0.0,0.0,1.0,0.0,0
1,DXC,2022-03-04,2022-04-01,0.04500000000000005,0.0,0.0,1.0,0.0,0.0,0
1,EWA,2022-03-04,2022-04-01,0.07750721194637714,0.0,0.0,0.0,1.0,0.0,0
1,EWC,2022-03-04,2022-04-01,0.04359817545348463,0.0,0.0,1.0,0.0,0.0,0
1,EWG,2022-03-04,2022-04-01,0.10506626338201937,0.0,0.0,0.0,0.0,1.0,0
1,EWH,2022-03-04,2022-04-01,0.037578579743888174,0.0,0.0,1.0,0.0,0.0,0
1,EWJ,2022-03-04,2022-04-01,0.012257050698866921,0.0,1.0,0.0,0.0,0.0,0
1,EWL,2022-03-04,2022-04-01,0.0779480346435709,0.0,0.0,0.0,1.0,0.0,0
1,EWQ,2022-03-04,2022-04-01,0.11618431689571544,0.0,0.0,0.0,0.0,1.0,0
1,EWT,2022-03-04,2022-04-01,-0.015687533036321134,1.0,0.0,0.0,0.0,0.0,0
1,EWU,2022-03-04,2022-04-01,0.08024346109557505,0.0,0.0,0.0,1.0,0.0,0
1,EWY,2022-03-04,2022-04-01,0.014721406776474683,0.0,1.0,0.0,0.0,0.0,0
1,EWZ,2022-03-04,2022-04-01,0.14146053408568984,0.0,0.0,0.0,0.0,1.0,0
