model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5
Chronos T5 Base 200M,1,ABBV,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,1,ACN,0.0,0.05,0.1,0.38,0.47
Chronos T5 Base 200M,1,AEP,0.0,0.0,0.03,0.18,0.79
Chronos T5 Base 200M,1,AIZ,0.04,0.2,0.22,0.28,0.26
Chronos T5 Base 200M,1,ALLE,0.2,0.42,0.25,0.08,0.05
Chronos T5 Base 200M,1,AMAT,0.04,0.16,0.14,0.22,0.44
Chronos T5 Base 200M,1,AMP,0.12,0.32,0.21,0.23,0.12
Chronos T5 Base 200M,1,AMZN,0.65,0.29,0.04,0.01,0.01
Chronos T5 Base 200M,1,AVB,0.22,0.39,0.23,0.12,0.04
Chronos T5 Base 200M,1,AVY,0.86,0.1,0.03,0.0,0.01
Chronos T5 Base 200M,1,AXP,0.37,0.27,0.25,0.08,0.03
Chronos T5 Base 200M,1,BDX,0.02,0.21,0.29,0.43,0.05
Chronos T5 Base 200M,1,BF-B,0.0,0.14,0.25,0.41,0.2
Chronos T5 Base 200M,1,BMY,0.09,0.43,0.38,0.08,0.02
Chronos T5 Base 200M,1,BR,0.11,0.35,0.3,0.17,0.07
Chronos T5 Base 200M,1,CARR,0.81,0.15,0.04,0.0,0.0
Chronos T5 Base 200M,1,CDW,0.12,0.21,0.22,0.31,0.14
Chronos T5 Base 200M,1,CE,0.29,0.43,0.21,0.06,0.01
Chronos T5 Base 200M,1,CHTR,0.0,0.14,0.22,0.38,0.26
Chronos T5 Base 200M,1,CNC,0.13,0.23,0.14,0.24,0.26
Chronos T5 Base 200M,1,CNP,0.0,0.02,0.06,0.27,0.65
Chronos T5 Base 200M,1,COP,0.27,0.22,0.12,0.15,0.24
Chronos T5 Base 200M,1,CTAS,0.27,0.29,0.17,0.21,0.06
Chronos T5 Base 200M,1,CZR,0.97,0.03,0.0,0.0,0.0
Chronos T5 Base 200M,1,DG,0.0,0.01,0.06,0.25,0.68
Chronos T5 Base 200M,1,DPZ,0.1,0.3,0.3,0.2,0.1
Chronos T5 Base 200M,1,DRE,0.06,0.34,0.33,0.21,0.06
Chronos T5 Base 200M,1,DXC,0.52,0.2,0.12,0.09,0.07
Chronos T5 Base 200M,1,EWA,0.01,0.0,0.13,0.23,0.63
Chronos T5 Base 200M,1,EWC,0.0,0.05,0.13,0.35,0.47
Chronos T5 Base 200M,1,EWG,0.01,0.06,0.19,0.34,0.4
Chronos T5 Base 200M,1,EWH,0.03,0.55,0.33,0.07,0.02
Chronos T5 Base 200M,1,EWJ,0.18,0.49,0.33,0.0,0.0
Chronos T5 Base 200M,1,EWL,0.0,0.14,0.48,0.33,0.05
Chronos T5 Base 200M,1,EWQ,0.02,0.18,0.3,0.4,0.1
Chronos T5 Base 200M,1,EWT,0.01,0.13,0.22,0.38,0.26
Chronos T5 Base 200M,1,EWU,0.0,0.06,0.23,0.49,0.22
Chronos T5 Base 200M,1,EWY,0.85,0.12,0.03,0.0,0.0
Chronos T5 Base 200M,1,EWZ,0.0,0.01,0.04,0.09,0.86
Chronos T5 Base 200M,1,FTV,0.17,0.31,0.24,0.2,0.08
Chronos T5 Base 200M,1,GOOG,0.03,0.23,0.25,0.34,0.15
Chronos T5 Base 200M,1,GPC,0.53,0.38,0.05,0.04,0.0
Chronos T5 Base 200M,1,GSG,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,1,HIG,0.73,0.19,0.06,0.02,0.0
Chronos T5 Base 200M,1,HIGH.L,0.0,0.05,0.41,0.41,0.13
Chronos T5 Base 200M,1,HST,0.82,0.16,0.02,0.0,0.0
Chronos T5 Base 200M,1,HYG,0.0,0.27,0.44,0.22,0.07
Chronos T5 Base 200M,1,IAU,0.0,0.05,0.58,0.3,0.07
Chronos T5 Base 200M,1,ICLN,0.76,0.17,0.05,0.01,0.01
Chronos T5 Base 200M,1,IEAA.L,0.0,0.0,0.02,0.55,0.43
Chronos T5 Base 200M,1,IEF,0.0,0.0,0.85,0.15,0.0
Chronos T5 Base 200M,1,IEFM.L,0.0,0.02,0.13,0.47,0.38
Chronos T5 Base 200M,1,IEMG,0.37,0.49,0.12,0.01,0.01
Chronos T5 Base 200M,1,IEUS,0.0,0.02,0.08,0.23,0.67
Chronos T5 Base 200M,1,IEVL.L,0.01,0.2,0.41,0.28,0.1
Chronos T5 Base 200M,1,IGF,0.0,0.0,0.02,0.19,0.79
Chronos T5 Base 200M,1,INDA,0.03,0.27,0.4,0.27,0.03
Chronos T5 Base 200M,1,IUMO.L,0.03,0.38,0.38,0.18,0.03
Chronos T5 Base 200M,1,IUVL.L,0.23,0.46,0.22,0.07,0.02
Chronos T5 Base 200M,1,IVV,0.0,0.21,0.39,0.29,0.11
Chronos T5 Base 200M,1,IWM,0.54,0.34,0.09,0.03,0.0
Chronos T5 Base 200M,1,IXN,0.04,0.24,0.44,0.2,0.08
Chronos T5 Base 200M,1,JPEA.L,0.06,0.38,0.36,0.19,0.01
Chronos T5 Base 200M,1,JPM,0.25,0.39,0.19,0.14,0.03
Chronos T5 Base 200M,1,KR,0.0,0.07,0.08,0.21,0.64
Chronos T5 Base 200M,1,LQD,0.0,0.0,0.21,0.69,0.1
Chronos T5 Base 200M,1,MCHI,0.35,0.45,0.15,0.04,0.01
Chronos T5 Base 200M,1,META,0.82,0.12,0.04,0.02,0.0
Chronos T5 Base 200M,1,MVEU.L,0.0,0.0,0.0,0.1,0.9
Chronos T5 Base 200M,1,OGN,0.06,0.19,0.27,0.21,0.27
Chronos T5 Base 200M,1,PG,0.0,0.0,0.27,0.52,0.21
Chronos T5 Base 200M,1,PPL,0.7,0.26,0.03,0.01,0.0
Chronos T5 Base 200M,1,PRU,0.21,0.28,0.15,0.2,0.16
Chronos T5 Base 200M,1,PYPL,0.81,0.13,0.05,0.01,0.0
Chronos T5 Base 200M,1,RE,0.04,0.22,0.2,0.33,0.21
Chronos T5 Base 200M,1,REET,0.0,0.07,0.27,0.5,0.16
Chronos T5 Base 200M,1,ROL,0.0,0.0,0.0,0.01,0.99
Chronos T5 Base 200M,1,ROST,0.37,0.27,0.19,0.12,0.05
Chronos T5 Base 200M,1,SEGA.L,0.0,0.69,0.3,0.01,0.0
Chronos T5 Base 200M,1,SHY,0.0,0.0,0.38,0.61,0.01
Chronos T5 Base 200M,1,SLV,0.01,0.08,0.1,0.27,0.54
Chronos T5 Base 200M,1,SPMV.L,0.01,0.37,0.43,0.15,0.04
Chronos T5 Base 200M,1,TLT,0.11,0.74,0.13,0.02,0.0
Chronos T5 Base 200M,1,UNH,0.01,0.08,0.2,0.33,0.38
Chronos T5 Base 200M,1,URI,0.94,0.06,0.0,0.0,0.0
Chronos T5 Base 200M,1,V,0.15,0.35,0.3,0.18,0.02
Chronos T5 Base 200M,1,VRSK,0.0,0.0,0.03,0.12,0.85
Chronos T5 Base 200M,1,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,1,WRK,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,1,XLB,0.29,0.53,0.16,0.02,0.0
Chronos T5 Base 200M,1,XLC,0.0,0.16,0.34,0.36,0.14
Chronos T5 Base 200M,1,XLE,0.42,0.25,0.16,0.12,0.05
Chronos T5 Base 200M,1,XLF,0.11,0.38,0.27,0.19,0.05
Chronos T5 Base 200M,1,XLI,0.05,0.36,0.25,0.26,0.08
Chronos T5 Base 200M,1,XLK,0.22,0.35,0.3,0.11,0.02
Chronos T5 Base 200M,1,XLP,0.0,0.03,0.41,0.54,0.02
Chronos T5 Base 200M,1,XLU,0.0,0.07,0.31,0.36,0.26
Chronos T5 Base 200M,1,XLV,0.0,0.06,0.25,0.51,0.18
Chronos T5 Base 200M,1,XLY,0.03,0.26,0.33,0.23,0.15
Chronos T5 Base 200M,1,XOM,0.32,0.22,0.12,0.13,0.21
Chronos T5 Base 200M,2,ABBV,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,2,ACN,0.0,0.0,0.0,0.12,0.88
Chronos T5 Base 200M,2,AEP,0.0,0.0,0.01,0.17,0.82
Chronos T5 Base 200M,2,AIZ,0.28,0.43,0.18,0.09,0.02
Chronos T5 Base 200M,2,ALLE,0.03,0.22,0.29,0.32,0.14
Chronos T5 Base 200M,2,AMAT,0.05,0.06,0.14,0.08,0.67
Chronos T5 Base 200M,2,AMP,0.58,0.33,0.07,0.02,0.0
Chronos T5 Base 200M,2,AMZN,0.03,0.2,0.32,0.29,0.16
Chronos T5 Base 200M,2,AVB,0.58,0.31,0.07,0.04,0.0
Chronos T5 Base 200M,2,AVY,0.74,0.22,0.03,0.01,0.0
Chronos T5 Base 200M,2,AXP,0.17,0.26,0.17,0.27,0.13
Chronos T5 Base 200M,2,BDX,0.0,0.13,0.31,0.47,0.09
Chronos T5 Base 200M,2,BF-B,0.01,0.17,0.29,0.33,0.2
Chronos T5 Base 200M,2,BMY,0.06,0.28,0.39,0.24,0.03
Chronos T5 Base 200M,2,BR,0.05,0.32,0.35,0.22,0.06
Chronos T5 Base 200M,2,CARR,0.94,0.04,0.02,0.0,0.0
Chronos T5 Base 200M,2,CDW,0.04,0.19,0.26,0.33,0.18
Chronos T5 Base 200M,2,CE,0.83,0.14,0.03,0.0,0.0
Chronos T5 Base 200M,2,CHTR,0.0,0.05,0.17,0.38,0.4
Chronos T5 Base 200M,2,CNC,0.29,0.45,0.19,0.04,0.03
Chronos T5 Base 200M,2,CNP,0.01,0.03,0.1,0.25,0.61
Chronos T5 Base 200M,2,COP,0.1,0.25,0.11,0.21,0.33
Chronos T5 Base 200M,2,CTAS,0.11,0.23,0.26,0.23,0.17
Chronos T5 Base 200M,2,CZR,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,2,DG,0.0,0.27,0.33,0.29,0.11
Chronos T5 Base 200M,2,DPZ,0.23,0.62,0.11,0.03,0.01
Chronos T5 Base 200M,2,DRE,0.0,0.1,0.3,0.33,0.27
Chronos T5 Base 200M,2,DXC,0.84,0.11,0.02,0.02,0.01
Chronos T5 Base 200M,2,EWA,0.0,0.0,0.03,0.12,0.85
Chronos T5 Base 200M,2,EWC,0.05,0.53,0.32,0.08,0.02
Chronos T5 Base 200M,2,EWG,0.01,0.08,0.26,0.34,0.31
Chronos T5 Base 200M,2,EWH,0.02,0.56,0.31,0.1,0.01
Chronos T5 Base 200M,2,EWJ,0.0,0.32,0.54,0.13,0.01
Chronos T5 Base 200M,2,EWL,0.0,0.11,0.54,0.32,0.03
Chronos T5 Base 200M,2,EWQ,0.0,0.1,0.28,0.39,0.23
Chronos T5 Base 200M,2,EWT,0.0,0.04,0.24,0.35,0.37
Chronos T5 Base 200M,2,EWU,0.0,0.08,0.21,0.44,0.27
Chronos T5 Base 200M,2,EWY,0.34,0.5,0.12,0.03,0.01
Chronos T5 Base 200M,2,EWZ,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,2,FTV,0.33,0.4,0.14,0.13,0.0
Chronos T5 Base 200M,2,GOOG,0.0,0.1,0.2,0.41,0.29
Chronos T5 Base 200M,2,GPC,0.39,0.44,0.12,0.05,0.0
Chronos T5 Base 200M,2,GSG,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,2,HIG,0.71,0.24,0.04,0.01,0.0
Chronos T5 Base 200M,2,HIGH.L,0.0,0.01,0.19,0.61,0.19
Chronos T5 Base 200M,2,HST,0.7,0.22,0.04,0.03,0.01
Chronos T5 Base 200M,2,HYG,0.01,0.05,0.44,0.4,0.1
Chronos T5 Base 200M,2,IAU,0.0,0.0,0.11,0.36,0.53
Chronos T5 Base 200M,2,ICLN,0.01,0.03,0.04,0.16,0.76
Chronos T5 Base 200M,2,IEAA.L,0.0,0.05,0.27,0.55,0.13
Chronos T5 Base 200M,2,IEF,0.0,0.38,0.62,0.0,0.0
Chronos T5 Base 200M,2,IEFM.L,0.27,0.49,0.21,0.03,0.0
Chronos T5 Base 200M,2,IEMG,0.83,0.17,0.0,0.0,0.0
Chronos T5 Base 200M,2,IEUS,0.0,0.1,0.33,0.39,0.18
Chronos T5 Base 200M,2,IEVL.L,0.0,0.14,0.39,0.35,0.12
Chronos T5 Base 200M,2,IGF,0.0,0.08,0.31,0.37,0.24
Chronos T5 Base 200M,2,INDA,0.01,0.16,0.38,0.37,0.08
Chronos T5 Base 200M,2,IUMO.L,0.12,0.49,0.35,0.04,0.0
Chronos T5 Base 200M,2,IUVL.L,0.13,0.51,0.26,0.1,0.0
Chronos T5 Base 200M,2,IVV,0.0,0.0,0.08,0.34,0.58
Chronos T5 Base 200M,2,IWM,0.28,0.42,0.26,0.03,0.01
Chronos T5 Base 200M,2,IXN,0.0,0.08,0.14,0.28,0.5
Chronos T5 Base 200M,2,JPEA.L,0.0,0.09,0.5,0.28,0.13
Chronos T5 Base 200M,2,JPM,0.78,0.19,0.03,0.0,0.0
Chronos T5 Base 200M,2,KR,0.02,0.26,0.31,0.26,0.15
Chronos T5 Base 200M,2,LQD,0.0,0.0,0.23,0.71,0.06
Chronos T5 Base 200M,2,MCHI,0.97,0.02,0.01,0.0,0.0
Chronos T5 Base 200M,2,META,0.56,0.31,0.08,0.03,0.02
Chronos T5 Base 200M,2,MVEU.L,0.0,0.0,0.03,0.09,0.88
Chronos T5 Base 200M,2,OGN,0.08,0.32,0.21,0.26,0.13
Chronos T5 Base 200M,2,PG,0.0,0.03,0.29,0.48,0.2
Chronos T5 Base 200M,2,PPL,0.32,0.39,0.2,0.07,0.02
Chronos T5 Base 200M,2,PRU,0.33,0.41,0.17,0.07,0.02
Chronos T5 Base 200M,2,PYPL,0.51,0.19,0.17,0.11,0.02
Chronos T5 Base 200M,2,RE,0.03,0.12,0.14,0.32,0.39
Chronos T5 Base 200M,2,REET,0.0,0.08,0.24,0.53,0.15
Chronos T5 Base 200M,2,ROL,0.0,0.0,0.01,0.05,0.94
Chronos T5 Base 200M,2,ROST,0.33,0.32,0.21,0.09,0.05
Chronos T5 Base 200M,2,SEGA.L,0.0,0.66,0.34,0.0,0.0
Chronos T5 Base 200M,2,SHY,0.0,0.02,0.63,0.35,0.0
Chronos T5 Base 200M,2,SLV,0.03,0.17,0.2,0.33,0.27
Chronos T5 Base 200M,2,SPMV.L,0.0,0.0,0.27,0.49,0.24
Chronos T5 Base 200M,2,TLT,0.01,0.61,0.31,0.07,0.0
Chronos T5 Base 200M,2,UNH,0.23,0.45,0.24,0.06,0.02
Chronos T5 Base 200M,2,URI,0.84,0.13,0.02,0.01,0.0
Chronos T5 Base 200M,2,V,0.05,0.34,0.28,0.25,0.08
Chronos T5 Base 200M,2,VRSK,0.0,0.04,0.04,0.29,0.63
Chronos T5 Base 200M,2,VXX,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,2,WRK,0.96,0.04,0.0,0.0,0.0
Chronos T5 Base 200M,2,XLB,0.33,0.48,0.16,0.03,0.0
Chronos T5 Base 200M,2,XLC,0.02,0.37,0.38,0.22,0.01
Chronos T5 Base 200M,2,XLE,0.3,0.31,0.21,0.13,0.05
Chronos T5 Base 200M,2,XLF,0.61,0.28,0.11,0.0,0.0
Chronos T5 Base 200M,2,XLI,0.13,0.46,0.3,0.09,0.02
Chronos T5 Base 200M,2,XLK,0.01,0.09,0.19,0.26,0.45
Chronos T5 Base 200M,2,XLP,0.0,0.01,0.12,0.63,0.24
Chronos T5 Base 200M,2,XLU,0.0,0.06,0.28,0.46,0.2
Chronos T5 Base 200M,2,XLV,0.0,0.09,0.4,0.41,0.1
Chronos T5 Base 200M,2,XLY,0.0,0.07,0.26,0.33,0.34
Chronos T5 Base 200M,2,XOM,0.37,0.3,0.14,0.15,0.04
Chronos T5 Base 200M,3,ABBV,0.0,0.02,0.04,0.11,0.83
Chronos T5 Base 200M,3,ACN,0.0,0.08,0.19,0.25,0.48
Chronos T5 Base 200M,3,AEP,0.0,0.0,0.07,0.43,0.5
Chronos T5 Base 200M,3,AIZ,0.0,0.0,0.04,0.16,0.8
Chronos T5 Base 200M,3,ALLE,0.51,0.32,0.12,0.04,0.01
Chronos T5 Base 200M,3,AMAT,0.02,0.15,0.14,0.13,0.56
Chronos T5 Base 200M,3,AMP,0.34,0.39,0.17,0.03,0.07
Chronos T5 Base 200M,3,AMZN,0.16,0.38,0.19,0.2,0.07
Chronos T5 Base 200M,3,AVB,0.75,0.22,0.03,0.0,0.0
Chronos T5 Base 200M,3,AVY,0.71,0.21,0.06,0.01,0.01
Chronos T5 Base 200M,3,AXP,0.17,0.19,0.18,0.27,0.19
Chronos T5 Base 200M,3,BDX,0.11,0.52,0.28,0.08,0.01
Chronos T5 Base 200M,3,BF-B,0.01,0.15,0.27,0.36,0.21
Chronos T5 Base 200M,3,BMY,0.0,0.2,0.34,0.32,0.14
Chronos T5 Base 200M,3,BR,0.01,0.16,0.21,0.31,0.31
Chronos T5 Base 200M,3,CARR,0.68,0.19,0.1,0.03,0.0
Chronos T5 Base 200M,3,CDW,0.62,0.31,0.05,0.02,0.0
Chronos T5 Base 200M,3,CE,0.0,0.06,0.07,0.22,0.65
Chronos T5 Base 200M,3,CHTR,0.03,0.15,0.21,0.27,0.34
Chronos T5 Base 200M,3,CNC,0.22,0.46,0.19,0.07,0.06
Chronos T5 Base 200M,3,CNP,0.0,0.03,0.09,0.31,0.57
Chronos T5 Base 200M,3,COP,0.28,0.26,0.2,0.17,0.09
Chronos T5 Base 200M,3,CTAS,0.14,0.16,0.21,0.16,0.33
Chronos T5 Base 200M,3,CZR,1.0,0.0,0.0,0.0,0.0
Chronos T5 Base 200M,3,DG,0.07,0.34,0.4,0.14,0.05
Chronos T5 Base 200M,3,DPZ,0.2,0.39,0.31,0.08,0.02
Chronos T5 Base 200M,3,DRE,0.1,0.34,0.35,0.18,0.03
Chronos T5 Base 200M,3,DXC,0.78,0.13,0.03,0.05,0.01
Chronos T5 Base 200M,3,EWA,0.0,0.03,0.26,0.43,0.28
Chronos T5 Base 200M,3,EWC,0.03,0.26,0.32,0.21,0.18
Chronos T5 Base 200M,3,EWG,0.06,0.17,0.36,0.29,0.12
Chronos T5 Base 200M,3,EWH,0.01,0.43,0.39,0.15,0.02
Chronos T5 Base 200M,3,EWJ,0.12,0.67,0.21,0.0,0.0
Chronos T5 Base 200M,3,EWL,0.0,0.16,0.46,0.31,0.07
Chronos T5 Base 200M,3,EWQ,0.01,0.04,0.2,0.35,0.4
Chronos T5 Base 200M,3,EWT,0.12,0.52,0.26,0.09,0.01
Chronos T5 Base 200M,3,EWU,0.0,0.0,0.12,0.4,0.48
Chronos T5 Base 200M,3,EWY,0.19,0.44,0.22,0.14,0.01
Chronos T5 Base 200M,3,EWZ,0.0,0.06,0.03,0.14,0.77
Chronos T5 Base 200M,3,FTV,0.5,0.34,0.09,0.07,0.0
Chronos T5 Base 200M,3,GOOG,0.17,0.36,0.23,0.15,0.09
Chronos T5 Base 200M,3,GPC,0.01,0.02,0.15,0.23,0.59
Chronos T5 Base 200M,3,GSG,0.0,0.0,0.0,0.0,1.0
Chronos T5 Base 200M,3,HIG,0.43,0.34,0.11,0.09,0.03
Chronos T5 Base 200M,3,HIGH.L,0.0,0.01,0.11,0.58,0.3
Chronos T5 Base 200M,3,HST,0.96,0.04,0.0,0.0,0.0
Chronos T5 Base 200M,3,HYG,0.0,0.16,0.48,0.28,0.08
Chronos T5 Base 200M,3,IAU,0.0,0.01,0.15,0.52,0.32
Chronos T5 Base 200M,3,ICLN,0.65,0.24,0.06,0.04,0.01
Chronos T5 Base 200M,3,IEAA.L,0.0,0.05,0.23,0.47,0.25
Chronos T5 Base 200M,3,IEF,0.0,0.78,0.22,0.0,0.0
Chronos T5 Base 200M,3,IEFM.L,0.13,0.53,0.23,0.11,0.0
Chronos T5 Base 200M,3,IEMG,0.81,0.19,0.0,0.0,0.0
