model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5
Financial Chronos Small 46M 2021 Global,1,ABBV,0.13,0.19,0.3,0.28,0.1
Financial Chronos Small 46M 2021 Global,1,ACN,0.13,0.23,0.35,0.2,0.09
Financial Chronos Small 46M 2021 Global,1,AEP,0.16,0.26,0.25,0.25,0.08
Financial Chronos Small 46M 2021 Global,1,AIZ,0.08,0.33,0.39,0.2,0.0
Financial Chronos Small 46M 2021 Global,1,ALLE,0.43,0.23,0.19,0.08,0.07
Financial Chronos Small 46M 2021 Global,1,AMAT,0.44,0.12,0.07,0.17,0.2
Financial Chronos Small 46M 2021 Global,1,AMP,0.05,0.04,0.06,0.1,0.75
Financial Chronos Small 46M 2021 Global,1,AMZN,0.34,0.29,0.23,0.1,0.04
Financial Chronos Small 46M 2021 Global,1,AVB,0.13,0.28,0.27,0.28,0.04
Financial Chronos Small 46M 2021 Global,1,AVY,0.12,0.11,0.14,0.28,0.35
Financial Chronos Small 46M 2021 Global,1,AXP,0.25,0.24,0.14,0.22,0.15
Financial Chronos Small 46M 2021 Global,1,BDX,0.07,0.34,0.43,0.14,0.02
Financial Chronos Small 46M 2021 Global,1,BF-B,0.11,0.48,0.31,0.1,0.0
Financial Chronos Small 46M 2021 Global,1,BMY,0.03,0.44,0.45,0.08,0.0
Financial Chronos Small 46M 2021 Global,1,BR,0.2,0.24,0.34,0.19,0.03
Financial Chronos Small 46M 2021 Global,1,CARR,0.25,0.14,0.15,0.25,0.21
Financial Chronos Small 46M 2021 Global,1,CDW,0.16,0.16,0.22,0.32,0.14
Financial Chronos Small 46M 2021 Global,1,CE,0.1,0.1,0.14,0.32,0.34
Financial Chronos Small 46M 2021 Global,1,CHTR,0.33,0.22,0.26,0.09,0.1
Financial Chronos Small 46M 2021 Global,1,CNC,0.15,0.37,0.28,0.2,0.0
Financial Chronos Small 46M 2021 Global,1,CNP,0.17,0.29,0.17,0.27,0.1
Financial Chronos Small 46M 2021 Global,1,COP,0.21,0.27,0.34,0.17,0.01
Financial Chronos Small 46M 2021 Global,1,CTAS,0.11,0.21,0.24,0.33,0.11
Financial Chronos Small 46M 2021 Global,1,CZR,0.61,0.1,0.08,0.08,0.13
Financial Chronos Small 46M 2021 Global,1,DG,0.22,0.34,0.26,0.16,0.02
Financial Chronos Small 46M 2021 Global,1,DPZ,0.07,0.4,0.33,0.15,0.05
Financial Chronos Small 46M 2021 Global,1,DRE,0.15,0.44,0.28,0.13,0.0
Financial Chronos Small 46M 2021 Global,1,DXC,0.22,0.04,0.11,0.23,0.4
Financial Chronos Small 46M 2021 Global,1,EWA,0.23,0.2,0.11,0.34,0.12
Financial Chronos Small 46M 2021 Global,1,EWC,0.27,0.15,0.2,0.25,0.13
Financial Chronos Small 46M 2021 Global,1,EWG,0.02,0.03,0.01,0.02,0.92
Financial Chronos Small 46M 2021 Global,1,EWH,0.2,0.13,0.15,0.33,0.19
Financial Chronos Small 46M 2021 Global,1,EWJ,0.18,0.3,0.21,0.25,0.06
Financial Chronos Small 46M 2021 Global,1,EWL,0.14,0.15,0.22,0.38,0.11
Financial Chronos Small 46M 2021 Global,1,EWQ,0.01,0.04,0.02,0.04,0.89
Financial Chronos Small 46M 2021 Global,1,EWT,0.18,0.07,0.08,0.21,0.46
Financial Chronos Small 46M 2021 Global,1,EWU,0.11,0.08,0.05,0.21,0.55
Financial Chronos Small 46M 2021 Global,1,EWY,0.45,0.16,0.13,0.16,0.1
Financial Chronos Small 46M 2021 Global,1,EWZ,0.16,0.18,0.16,0.24,0.26
Financial Chronos Small 46M 2021 Global,1,FTV,0.16,0.16,0.19,0.25,0.24
Financial Chronos Small 46M 2021 Global,1,GOOG,0.31,0.26,0.21,0.16,0.06
Financial Chronos Small 46M 2021 Global,1,GPC,0.3,0.19,0.15,0.27,0.09
Financial Chronos Small 46M 2021 Global,1,GSG,0.25,0.14,0.09,0.23,0.29
Financial Chronos Small 46M 2021 Global,1,HIG,0.08,0.1,0.19,0.32,0.31
Financial Chronos Small 46M 2021 Global,1,HIGH.L,0.07,0.23,0.44,0.26,0.0
Financial Chronos Small 46M 2021 Global,1,HST,0.27,0.12,0.13,0.27,0.21
Financial Chronos Small 46M 2021 Global,1,HYG,0.09,0.37,0.41,0.13,0.0
Financial Chronos Small 46M 2021 Global,1,IAU,0.16,0.17,0.3,0.28,0.09
Financial Chronos Small 46M 2021 Global,1,ICLN,0.81,0.04,0.05,0.05,0.05
Financial Chronos Small 46M 2021 Global,1,IEAA.L,0.11,0.44,0.37,0.08,0.0
Financial Chronos Small 46M 2021 Global,1,IEF,0.08,0.42,0.41,0.09,0.0
Financial Chronos Small 46M 2021 Global,1,IEFM.L,0.0,0.01,0.01,0.02,0.96
Financial Chronos Small 46M 2021 Global,1,IEMG,0.09,0.07,0.1,0.45,0.29
Financial Chronos Small 46M 2021 Global,1,IEUS,0.0,0.01,0.0,0.0,0.99
Financial Chronos Small 46M 2021 Global,1,IEVL.L,0.0,0.03,0.01,0.01,0.95
Financial Chronos Small 46M 2021 Global,1,IGF,0.1,0.16,0.16,0.43,0.15
Financial Chronos Small 46M 2021 Global,1,INDA,0.07,0.12,0.17,0.4,0.24
Financial Chronos Small 46M 2021 Global,1,IUMO.L,0.2,0.15,0.09,0.13,0.43
Financial Chronos Small 46M 2021 Global,1,IUVL.L,0.05,0.17,0.32,0.35,0.11
Financial Chronos Small 46M 2021 Global,1,IVV,0.06,0.12,0.1,0.29,0.43
Financial Chronos Small 46M 2021 Global,1,IWM,0.31,0.1,0.08,0.28,0.23
Financial Chronos Small 46M 2021 Global,1,IXN,0.02,0.01,0.09,0.14,0.74
Financial Chronos Small 46M 2021 Global,1,JPEA.L,0.18,0.22,0.19,0.26,0.15
Financial Chronos Small 46M 2021 Global,1,JPM,0.22,0.15,0.26,0.23,0.14
Financial Chronos Small 46M 2021 Global,1,KR,0.22,0.32,0.3,0.07,0.09
Financial Chronos Small 46M 2021 Global,1,LQD,0.18,0.47,0.3,0.04,0.01
Financial Chronos Small 46M 2021 Global,1,MCHI,0.26,0.3,0.22,0.18,0.04
Financial Chronos Small 46M 2021 Global,1,META,0.44,0.15,0.19,0.1,0.12
