model,round,symbol,RPS
Chronos T5 Base 200M,1,ABBV,0.2
Chronos T5 Base 200M,1,ACN,0.04918
Chronos T5 Base 200M,1,AEP,0.313
Chronos T5 Base 200M,1,AIZ,0.16368
Chronos T5 Base 200M,1,ALLE,0.16076000000000004
Chronos T5 Base 200M,1,AMAT,0.25416
Chronos T5 Base 200M,1,AMP,0.06898
Chronos T5 Base 200M,1,AMZN,0.64932
Chronos T5 Base 200M,1,AVB,0.08954
Chronos T5 Base 200M,1,AVY,0.33228
Chronos T5 Base 200M,1,AXP,0.26789999999999997
Chronos T5 Base 200M,1,BDX,0.35723999999999995
Chronos T5 Base 200M,1,BF-B,0.43034
Chronos T5 Base 200M,1,BMY,0.21778
Chronos T5 Base 200M,1,BR,0.16124
Chronos T5 Base 200M,1,CARR,0.13154000000000005
Chronos T5 Base 200M,1,CDW,0.06908
Chronos T5 Base 200M,1,CE,0.0335
Chronos T5 Base 200M,1,CHTR,0.24336000000000002
Chronos T5 Base 200M,1,CNC,0.14882
Chronos T5 Base 200M,1,CNP,0.08585999999999998
Chronos T5 Base 200M,1,COP,0.10854000000000001
Chronos T5 Base 200M,1,CTAS,0.3606000000000001
Chronos T5 Base 200M,1,CZR,0.0001800000000000003
Chronos T5 Base 200M,1,DG,0.09347999999999998
Chronos T5 Base 200M,1,DPZ,0.254
Chronos T5 Base 200M,1,DRE,0.14001999999999998
Chronos T5 Base 200M,1,DXC,0.16386
Chronos T5 Base 200M,1,EWA,0.08334
Chronos T5 Base 200M,1,EWC,0.17916
Chronos T5 Base 200M,1,EWG,0.08652000000000001
Chronos T5 Base 200M,1,EWH,0.06916000000000003
Chronos T5 Base 200M,1,EWJ,0.028260000000000007
Chronos T5 Base 200M,1,EWL,0.08130000000000001
Chronos T5 Base 200M,1,EWQ,0.22008
Chronos T5 Base 200M,1,EWT,0.43938000000000005
Chronos T5 Base 200M,1,EWU,0.027220000000000005
Chronos T5 Base 200M,1,EWY,0.14467999999999998
Chronos T5 Base 200M,1,EWZ,0.004440000000000001
Chronos T5 Base 200M,1,FTV,0.07682000000000001
Chronos T5 Base 200M,1,GOOG,0.07021999999999999
Chronos T5 Base 200M,1,GPC,0.058120000000000005
Chronos T5 Base 200M,1,GSG,0.8
Chronos T5 Base 200M,1,HIG,0.4679399999999999
Chronos T5 Base 200M,1,HIGH.L,0.24220000000000003
Chronos T5 Base 200M,1,HST,0.7265599999999999
Chronos T5 Base 200M,1,HYG,0.12438
Chronos T5 Base 200M,1,IAU,0.40885999999999995
Chronos T5 Base 200M,1,ICLN,0.6766000000000001
Chronos T5 Base 200M,1,IEAA.L,0.62906
Chronos T5 Base 200M,1,IEF,0.40449999999999997
Chronos T5 Base 200M,1,IEFM.L,0.08146
Chronos T5 Base 200M,1,IEMG,0.0314
Chronos T5 Base 200M,1,IEUS,0.023860000000000003
Chronos T5 Base 200M,1,IEVL.L,0.24772000000000002
Chronos T5 Base 200M,1,IGF,0.12490000000000001
Chronos T5 Base 200M,1,INDA,0.3043600000000001
Chronos T5 Base 200M,1,IUMO.L,0.15880000000000002
Chronos T5 Base 200M,1,IUVL.L,0.03149999999999999
Chronos T5 Base 200M,1,IVV,0.043240000000000015
Chronos T5 Base 200M,1,IWM,0.21338000000000004
Chronos T5 Base 200M,1,IXN,0.03296
Chronos T5 Base 200M,1,JPEA.L,0.04745999999999999
Chronos T5 Base 200M,1,JPM,0.04437999999999999
Chronos T5 Base 200M,1,KR,0.5993999999999999
Chronos T5 Base 200M,1,LQD,0.5268200000000001
Chronos T5 Base 200M,1,MCHI,0.09302
Chronos T5 Base 200M,1,META,0.70328
Chronos T5 Base 200M,1,MVEU.L,0.162
Chronos T5 Base 200M,1,OGN,0.34987999999999997
Chronos T5 Base 200M,1,PG,0.3154
Chronos T5 Base 200M,1,PPL,0.67834
Chronos T5 Base 200M,1,PRU,0.27988
Chronos T5 Base 200M,1,PYPL,0.7039600000000001
Chronos T5 Base 200M,1,RE,0.18098000000000003
Chronos T5 Base 200M,1,REET,0.09321999999999997
Chronos T5 Base 200M,1,ROL,0.59602
Chronos T5 Base 200M,1,ROST,0.05957999999999999
Chronos T5 Base 200M,1,SEGA.L,0.21924000000000002
Chronos T5 Base 200M,1,SHY,0.4769
Chronos T5 Base 200M,1,SLV,0.55118
Chronos T5 Base 200M,1,SPMV.L,0.03643999999999999
Chronos T5 Base 200M,1,TLT,0.16299999999999998
Chronos T5 Base 200M,1,UNH,0.13133999999999996
Chronos T5 Base 200M,1,URI,0.77672
Chronos T5 Base 200M,1,V,0.37458
Chronos T5 Base 200M,1,VRSK,0.00468
Chronos T5 Base 200M,1,VXX,0.0
Chronos T5 Base 200M,1,WRK,0.6
Chronos T5 Base 200M,1,XLB,0.3433800000000001
Chronos T5 Base 200M,1,XLC,0.05904
Chronos T5 Base 200M,1,XLE,0.13133999999999998
Chronos T5 Base 200M,1,XLF,0.062459999999999995
Chronos T5 Base 200M,1,XLI,0.09452000000000002
Chronos T5 Base 200M,1,XLK,0.07812
Chronos T5 Base 200M,1,XLP,0.25098
Chronos T5 Base 200M,1,XLU,0.043379999999999995
Chronos T5 Base 200M,1,XLV,0.10241999999999998
Chronos T5 Base 200M,1,XLY,0.09838000000000002
Chronos T5 Base 200M,1,XOM,0.16673999999999997
Chronos T5 Base 200M,2,ABBV,0.6
Chronos T5 Base 200M,2,ACN,0.75488
Chronos T5 Base 200M,2,AEP,0.13449999999999998
Chronos T5 Base 200M,2,AIZ,0.27499999999999997
Chronos T5 Base 200M,2,ALLE,0.21892000000000006
Chronos T5 Base 200M,2,AMAT,0.5412
Chronos T5 Base 200M,2,AMP,0.03698000000000001
Chronos T5 Base 200M,2,AMZN,0.35237999999999997
Chronos T5 Base 200M,2,AVB,0.03802000000000001
