model,round,symbol,RPS
Financial Chronos Small 46M 2021 Global,1,ABBV,0.10274000000000001
Financial Chronos Small 46M 2021 Global,1,ACN,0.13174
Financial Chronos Small 46M 2021 Global,1,AEP,0.06346
Financial Chronos Small 46M 2021 Global,1,AIZ,0.36290000000000006
Financial Chronos Small 46M 2021 Global,1,ALLE,0.09358000000000001
Financial Chronos Small 46M 2021 Global,1,AMAT,0.11281999999999996
Financial Chronos Small 46M 2021 Global,1,AMP,0.25911999999999996
Financial Chronos Small 46M 2021 Global,1,AMZN,0.43474
Financial Chronos Small 46M 2021 Global,1,AVB,0.0578
Financial Chronos Small 46M 2021 Global,1,AVY,0.11734
Financial Chronos Small 46M 2021 Global,1,AXP,0.1444
Financial Chronos Small 46M 2021 Global,1,BDX,0.24779999999999996
Financial Chronos Small 46M 2021 Global,1,BF-B,0.19404000000000002
Financial Chronos Small 46M 2021 Global,1,BMY,0.21363999999999997
Financial Chronos Small 46M 2021 Global,1,BR,0.16858
Financial Chronos Small 46M 2021 Global,1,CARR,0.13806
Financial Chronos Small 46M 2021 Global,1,CDW,0.07183999999999999
Financial Chronos Small 46M 2021 Global,1,CE,0.24023999999999995
Financial Chronos Small 46M 2021 Global,1,CHTR,0.07149999999999998
Financial Chronos Small 46M 2021 Global,1,CNC,0.05858
Financial Chronos Small 46M 2021 Global,1,CNP,0.12947999999999998
Financial Chronos Small 46M 2021 Global,1,COP,0.06939999999999999
Financial Chronos Small 46M 2021 Global,1,CTAS,0.24404000000000003
Financial Chronos Small 46M 2021 Global,1,CZR,0.059440000000000014
Financial Chronos Small 46M 2021 Global,1,DG,0.20696000000000003
Financial Chronos Small 46M 2021 Global,1,DPZ,0.23765999999999998
Financial Chronos Small 46M 2021 Global,1,DRE,0.22549999999999998
Financial Chronos Small 46M 2021 Global,1,DXC,0.13458
Financial Chronos Small 46M 2021 Global,1,EWA,0.10876000000000001
Financial Chronos Small 46M 2021 Global,1,EWC,0.08211999999999998
Financial Chronos Small 46M 2021 Global,1,EWG,0.0025800000000000003
Financial Chronos Small 46M 2021 Global,1,EWH,0.09108000000000001
Financial Chronos Small 46M 2021 Global,1,EWJ,0.0805
Financial Chronos Small 46M 2021 Global,1,EWL,0.07518
Financial Chronos Small 46M 2021 Global,1,EWQ,0.003920000000000002
Financial Chronos Small 46M 2021 Global,1,EWT,0.37908
Financial Chronos Small 46M 2021 Global,1,EWU,0.08166000000000001
Financial Chronos Small 46M 2021 Global,1,EWY,0.08644
Financial Chronos Small 46M 2021 Global,1,EWZ,0.18775999999999998
Financial Chronos Small 46M 2021 Global,1,FTV,0.15714
Financial Chronos Small 46M 2021 Global,1,GOOG,0.20660000000000003
Financial Chronos Small 46M 2021 Global,1,GPC,0.09756
Financial Chronos Small 46M 2021 Global,1,GSG,0.25782000000000005
Financial Chronos Small 46M 2021 Global,1,HIG,0.054360000000000006
Financial Chronos Small 46M 2021 Global,1,HIGH.L,0.1125
Financial Chronos Small 46M 2021 Global,1,HST,0.22390000000000004
Financial Chronos Small 46M 2021 Global,1,HYG,0.06332000000000002
Financial Chronos Small 46M 2021 Global,1,IAU,0.25989999999999996
Financial Chronos Small 46M 2021 Global,1,ICLN,0.6182200000000002
Financial Chronos Small 46M 2021 Global,1,IEAA.L,0.2002
Financial Chronos Small 46M 2021 Global,1,IEF,0.2209
Financial Chronos Small 46M 2021 Global,1,IEFM.L,0.00042000000000000007
Financial Chronos Small 46M 2021 Global,1,IEMG,0.26908
Financial Chronos Small 46M 2021 Global,1,IEUS,6.000000000000001e-05
Financial Chronos Small 46M 2021 Global,1,IEVL.L,0.0010000000000000002
Financial Chronos Small 46M 2021 Global,1,IGF,0.055299999999999995
Financial Chronos Small 46M 2021 Global,1,INDA,0.14964
Financial Chronos Small 46M 2021 Global,1,IUMO.L,0.1082
Financial Chronos Small 46M 2021 Global,1,IUVL.L,0.16692
Financial Chronos Small 46M 2021 Global,1,IVV,0.14786
Financial Chronos Small 46M 2021 Global,1,IWM,0.11543999999999999
Financial Chronos Small 46M 2021 Global,1,IXN,0.26466
Financial Chronos Small 46M 2021 Global,1,JPEA.L,0.07659999999999997
Financial Chronos Small 46M 2021 Global,1,JPM,0.12036
Financial Chronos Small 46M 2021 Global,1,KR,0.17074
Financial Chronos Small 46M 2021 Global,1,LQD,0.15950000000000003
Financial Chronos Small 46M 2021 Global,1,MCHI,0.15824
Financial Chronos Small 46M 2021 Global,1,META,0.3849
Financial Chronos Small 46M 2021 Global,1,MVEU.L,0.12580000000000002
Financial Chronos Small 46M 2021 Global,1,OGN,0.18600000000000003
Financial Chronos Small 46M 2021 Global,1,PG,0.09290000000000001
Financial Chronos Small 46M 2021 Global,1,PPL,0.27932000000000007
Financial Chronos Small 46M 2021 Global,1,PRU,0.032279999999999996
Financial Chronos Small 46M 2021 Global,1,PYPL,0.47187999999999997
Financial Chronos Small 46M 2021 Global,1,RE,0.19425999999999996
Financial Chronos Small 46M 2021 Global,1,REET,0.10092000000000001
Financial Chronos Small 46M 2021 Global,1,ROL,0.09566000000000002
Financial Chronos Small 46M 2021 Global,1,ROST,0.08409999999999998
Financial Chronos Small 46M 2021 Global,1,SEGA.L,0.07692
Financial Chronos Small 46M 2021 Global,1,SHY,0.25874
Financial Chronos Small 46M 2021 Global,1,SLV,0.17003999999999994
Financial Chronos Small 46M 2021 Global,1,SPMV.L,0.055299999999999995
Financial Chronos Small 46M 2021 Global,1,TLT,0.05381999999999999
Financial Chronos Small 46M 2021 Global,1,UNH,0.06028
Financial Chronos Small 46M 2021 Global,1,URI,0.39052000000000003
Financial Chronos Small 46M 2021 Global,1,V,0.32996
Financial Chronos Small 46M 2021 Global,1,VRSK,0.27362000000000003
Financial Chronos Small 46M 2021 Global,1,VXX,6.000000000000012e-05
Financial Chronos Small 46M 2021 Global,1,WRK,0.23378000000000002
Financial Chronos Small 46M 2021 Global,1,XLB,0.25426
Financial Chronos Small 46M 2021 Global,1,XLC,0.18252000000000002
Financial Chronos Small 46M 2021 Global,1,XLE,0.06717999999999999
Financial Chronos Small 46M 2021 Global,1,XLF,0.07015999999999999
Financial Chronos Small 46M 2021 Global,1,XLI,0.10166000000000001
Financial Chronos Small 46M 2021 Global,1,XLK,0.24076
Financial Chronos Small 46M 2021 Global,1,XLP,0.18603999999999998
Financial Chronos Small 46M 2021 Global,1,XLU,0.17284000000000002
Financial Chronos Small 46M 2021 Global,1,XLV,0.046099999999999995
