Round,Chronos T5 Base 200M,Financial Chronos Small 46M 2021 Global,Naive equal-probability benchmark
1,0.23089079999999998,0.1573572,0.16
2,0.2312492,0.157182,0.16
3,0.208048,0.18247319999999997,0.16
4,0.23031079999999998,0.1770372,0.16
5,0.21424759999999998,0.1927732,0.16
6,0.23401319999999998,0.1909688,0.16
7,0.19771360000000002,0.21530480000000002,0.16
8,0.18598800000000001,0.1861388,0.16
9,0.2765268,0.177572,0.16
10,0.1834236,0.16856359999999998,0.16
11,0.202942,0.1733732,0.16
12,0.327434,0.17367480000000002,0.16
